P00055040A0000|181 183|FR
P08877103A0081|144 146|-1
P08884757A0653|275 278|BGP
P08887647T0000|14 18|mal2
P08887661A0138|49 54|IRF-2
P08891345A0684|59 62|mos
P08891345A0684|157 158|5
P08891346A1217|151 155|FGF8
P08891346A1217|158 162|FGF8
P08891346A1217|168 172|FGF8
P08893779A0229|151 152|p
P08893779A0229|185 186|p
P08893779A0229|254 255|p
P08894144A0330|125 127|FB
P08894144A0330|136 138|sc
P08894144A0330|141 142|2
P08894144A0330|169 171|FB
P08894144A0330|180 182|sc
P08894144A0330|185 186|3
P08894144A0330|210 212|FB
P08894144A0330|225 227|sc
P08894144A0330|262 264|FB
P08894144A0330|277 279|sc
P08896402A0587|176 178|12
P08896402A0587|185 186|N
P08896804A0000|299 300|P
P08896804A0000|365 367|10
P08896804A0000|369 370|v
P08896804A0000|371 372|v
P08896804A0000|410 411|g
P08896804A0000|412 413|v
P08898365A0274|4 5|p
P08898365A0274|104 108|coil
P08917435A0481|33 36|Fos
P08917435A0481|86 91|PAI-1
P08917435A0481|155 158|fos
P08917435A0481|228 233|PAI-1
P08932385T0000|70 74|Nrf1
P08932385T0000|75 81|LCR-F1
P08937989A1365|51 52|C
P08940132A1120|200 203|ICE
P08942999T0000|51 84|SREBP cleavage-activating protein
P08943354A0295|146 150|Tyk2
P08943354A0295|246 251|SHP-1
P08948440A0628|52 53|3
P08967963A1735|225 227|AR
P08971835A1057|37 40|MSH
P08971835A1057|101 103|10
P08973917T0000|95 99|PWP2
P08979089A1197|195 197|P1
P08985415A1096|95 104|IFN-gamma
P08987225A0675|190 192|NT
P08987225A0675|198 201|ACT
P08994968A0926|14 17|arm
P08995054A1368|94 95|1
P09003311A0478|60 65|porin
P09006914A0812|71 74|JUN
P09006914A0812|79 82|ATF
P09006914A0812|109 112|JNK
P09006914A0812|117 120|p38
P09013760A0000|54 55|A
P09013760A0000|57 61|P450
P09013760A0000|141 145|ACTH
P09018122A1389|66 69|per
P09018122A1389|70 72|se
P09020138A0833|89 94|RAFTK
P09020169A0552|9 13|SIM2
P09020169A0552|68 71|AHR
P09022040A0263|136 145|L-plastin
P09022040A0263|297 306|L-plastin
P09028942A0000|77 80|set
P09028942A0000|100 103|fos
P09028942A0000|110 113|myc
P09028942A0000|146 147|1
P09028942A0000|149 152|egr
P09028942A0000|152 154|-1
P09030581A0990|58 61|MAP
P09030581A0990|103 106|JNK
P09030781A0734|73 74|B
P09030781A0734|76 80|cdk2
P09030781A0734|88 89|A
P09030781A0734|91 95|cdk2
P09030781A0734|109 113|cdk5
P09030781A0734|114 117|p35
P09030781A0734|213 217|cdk4
P09030781A0734|225 227|D1
P09030781A0734|235 236|6
P09030781A0734|244 246|D2
P09032233T0000|53 58|GHF-1
P09032233T0000|62 64|-1
P09032258A0395|23 25|-1
P09032258A0395|86 88|AT
P09032258A0395|138 140|B7
P09032258A0395|140 142|-1
P09037032T0000|49 50|R
P09040011A1316|41 43|G1
P09040011A1316|44 45|S
P09040011A1316|198 201|Raf
P09040011A1316|202 206|MAPK
P09045636A0789|74 75|T
P09046013A0000|96 103|SNX-111
P09049304A1193|31 35|AP-2
P09049304A1193|50 52|-1
P09049304A1193|81 84|VPF
P09049304A1193|126 130|AP-2
P09049304A1193|186 189|VPF
P09049306A0830|49 53|19.5
P09049306A0830|70 73|arm
P09050849A1459|70 73|GEP
P09057325A0177|63 65|-1
P09057325A0177|138 140|Bg
P09057840A0946|60 61|2
P09057840A0946|61 64|SO4
P09057840A0946|110 111|5
P09057840A0946|113 116|AMP
P09058323A1287|183 184|3
P09058323A1287|196 197|5
P09060622A1679|127 128|3
P09060971A0982|186 187|2
P09060971A0982|188 189|y
P09060971A0982|191 192|p
P09060971A0982|255 256|g
P09060971A0982|259 260|2
P09060971A0982|261 262|y
P09060971A0982|264 265|p
P09061697T0000|97 98|2
P09061698A0177|10 13|HSA
P09064659A1055|188 192|UPF1
P09065690A0463|4 5|p
P09065690A0463|76 80|CAR1
P09067577A0721|85 88|C3G
P09067577A0721|100 103|ABL
P09075739A0827|47 48|S
P09077108A0458|85 94|TNF-alpha
P09079638A0883|28 33|CXCR2
P09079638A0883|51 54|Ser
P09079650A0136|79 82|p42
P09079650A0136|86 90|MAPK
P09079650A0136|100 103|Jun
P09079650A0136|143 146|p38
P09079650A0136|147 152|Hog 1
P09085842A0181|132 134|SR
P09085842A0181|150 156|U1-70K
P09085842A0181|173 176|ASF
P09087430A1046|50 53|BSA
P09087430A1046|75 78|PAP
P09088371T0000|36 37|S
P09089653A0615|65 66|1
P09089653A0615|92 93|5
P09092493A0861|43 47|Stat
P09092493A0861|52 56|AP-1
P09092675A0283|2 5|P22
P09092675A0283|41 44|P22
P09092675A0283|50 51|A
P09094315A0541|50 55|B-Myb
P09094671A1192|40 43|p16
P09094671A1192|60 63|p15
P09099702A0692|84 86|RE
P09099702A0692|95 96|5
P09099702A0692|146 147|2
P09099702A0692|215 218|RTR
P09110176A0890|16 19|PCR
P09110176A0890|32 36|Ube3
P09111314A1243|50 58|p15INK4B
P09111314A1243|180 188|p15INK4B
P09111314A1243|251 253|D1
P09115395A0478|168 172|BRG1
P09115395A0478|344 345|5
P09115395A0478|372 376|BRG1
P09115395A0478|451 455|BRG1
P09115395A0478|476 477|2
P09115395A0478|503 504|5
P09115395A0478|510 511|1
P09115395A0478|513 517|Sox3
P09115395A0478|523 524|2
P09115395A0478|549 550|1
P09119391A0870|138 140|-1
P09121430A1075|71 76|c-myc
P09121433A0463|112 116|MEF2
P09121433A0463|122 123|T
P09121433A0463|124 125|A
P09121433A0463|138 142|SMP1
P09121433A0463|193 194|T
P09121433A0463|195 196|A
P09121435A1183|55 61|TFIIIB
P09121452A0538|38 48|C/EBP beta
P09121452A0538|123 134|C/EBP alpha
P09121452A0538|163 164|2
P09121452A0538|264 269|C/EBP
P09121774T0000|55 56|T
P09122168A1427|131 135|GRK3
P09132057A0559|29 32|NTS
P09132057A0559|165 166|S
P09139721A0183|7 9|G2
P09139910A0350|215 218|kbp
P09139910A0350|235 238|kbp
P09139910A0350|244 245|2
P09144165A0614|63 67|AP-1
P09144165A0614|75 78|Rel
P09144165A0614|198 201|Rel
P09144958A0047|121 122|3
P09147420T0000|75 78|Tat
P09147832A0174|75 76|2
P09148935A0805|16 19|Src
P09148935A0805|83 85|FN
P09148935A0805|111 115|ERK2
P09148935A0805|151 154|Src
P09151925A0479|6 9|LIP
P09151925A0479|73 74|C
P09151925A0479|75 78|LIP
P09153010A0499|48 49|1
P09153010A0499|84 85|2
P09153010A0499|151 152|3
P09153010A0499|250 251|5
P09154822T0000|18 23|Raf-1
P09154822T0000|41 44|AMP
P09154822T0000|74 75|v
P09155015A0140|115 118|ANF
P09162084A0956|47 50|SH2
P09162084A0956|67 74|PECAM-1
P09162084A0956|100 103|GST
P09162084A0956|104 107|Src
P09162084A0956|108 111|SH2
P09163332A0275|86 89|Ser
P09165035A0842|243 244|D
P09169420A0000|42 46|PI3K
P09169420A0000|49 58|p110alpha
P09169420A0000|99 102|Src
P09169420A0000|112 113|2
P09169420A0000|115 118|SH2
P09169420A0000|155 158|p85
P09169420A0000|167 170|p55
P09172312T0000|38 41|PCR
P09173733A0404|66 67|1
P09173733A0404|98 101|FFT
P09173733A0404|106 108|EA
P09173733A0404|126 127|2
P09173733A0404|241 242|3
P09173733A0404|267 269|EA
P09174049A1788|15 18|p34
P09174049A1788|18 22|CDC2
P09174049A1788|31 33|H1
P09175708A1526|6 11|PRL-R
P09175708A1526|31 32|N
P09175708A1526|45 46|C
P09181130A1067|136 137|5
P09183406A0637|47 50|HPA
P09186507A0882|83 84|5
P09186507A0882|130 131|5
P09186507A0882|151 155|TATA
P09186507A0882|194 195|C
P09186507A0882|267 270|Sp1
P09187136A0000|57 58|C
P09187136A0000|115 119|src-
P09187136A0000|124 127|ras
P09190202A0166|34 35|p
P09190202A0166|41 46|Sec23
P09190202A0166|46 47|p
P09190202A0166|75 80|Sec23
P09190202A0166|80 81|p
P09190202A0166|86 91|Sec24
P09190202A0166|91 92|p
P09190202A0166|102 107|Sec13
P09190202A0166|107 108|p
P09190202A0166|136 141|Sec13
P09190202A0166|141 142|p
P09190202A0166|172 176|p150
P09193077A0000|127 130|CHS
P09197408A0126|91 95|GAL4
P09197408A0126|107 108|2
P09197408A0126|117 119|C6
P09197408A0126|218 219|C
P09199328T0000|75 78|HCF
P09199413A0518|59 61|10
P09199413A0518|62 63|6
P09199413A0518|93 95|C5
P09199413A0518|124 125|6
P09200811T0000|109 123|DNA polymerase
P09203585A0660|89 92|set
P09210478A0000|55 60|HIF-1
P09212059A1356|84 85|A
P09212059A1856|289 291|PR
P09218436A0443|59 61|-1
P09218459A0000|23 26|SRF
P09218775A1229|74 77|PAO
P09224811A0000|108 113|P450R
P09224811A0000|282 287|P450R
P09226345A0436|75 76|p
P09226345A0436|110 111|p
P09230307A0329|24 30|GATA-1
P09233772A0136|223 227|RCC1
P09233772A0136|280 299|GTP-binding protein
P09233772A0136|300 303|Ran
P09233772A0136|509 511|E3
P09233811A0072|97 98|M
P09233811A0072|124 128|Mat1
P09234703A0192|68 73|Cdc42
P09234713A0754|177 178|3
P09234713A0754|195 196|5
P09234713A0754|207 208|1
P09234717A0000|204 207|SH2
P09234720A1015|61 64|Src
P09234720A1015|176 177|v
P09234720A1015|178 181|Src
P09234727A0770|5 8|Eed
P09234727A0770|102 105|Gal
P09234736A0999|221 222|1
P09234743A0475|140 141|C
P09236224A0939|101 104|NGF
P09238860A0175|151 155|CREB
P09238860A0175|160 164|CREM
P09238860A1974|110 123|Interleukin-2
P09238860A1974|125 129|IL-2
P09238860A1974|188 191|Ca2
P09247645A0000|47 48|1
P09247645A0000|52 54|10
P09247645A0000|67 70|SEC
P09252406A0511|154 160|Cgamma
P09256973A0455|34 35|5
P09256973A0455|47 48|1
P09256973A0455|53 55|10
P09256973A0455|57 59|G2
P09256973A0455|110 111|6
P09259052A0568|33 36|Fos
P09259052A0568|160 164|AP-1
P09259052A0568|188 191|Jun
P09263856A0563|51 54|EGF
P09263856A0563|54 56|-1
P09263856A0563|74 76|PS
P09272108A1295a|86 90|TATA
P09279889A1124|100 102|PG
P09279889A1124|118 120|PG
P09282329A0527|195 196|S
P09282329A0527|221 223|P1
P09287352A0930|83 86|EGF
P09287352A0930|169 174|SHP-1
P09287352A0930|176 179|Cys
P09287352A0930|184 187|Ser
P09287352A0930|259 264|SHP-1
P09294422A1376|119 120|D
P09294422A1376|198 201|POR
P09297698A0933|142 143|3
P09311796A0218|132 135|TBP
P09312025A0373|114 115|3
P09312025A0373|123 126|p85
P09312025A0373|195 198|p85
P09312087A0000|51 54|SH2
P09312087A0000|104 109|SHP-2
P09312087A0000|153 160|PECAM-1
P09312087A0000|345 352|PECAM-1
P09312087A0000|384 387|Tyr
P09312087A0000|395 398|Tyr
P09315631A1064|101 105|POR1
P09315631A1064|110 114|POR2
P09315631A1064|176 177|C
P09315678A0278|13 14|p
P09315678A0278|134 141|Nopp140
P09317131A1332|99 104|STAT6
P09317131A1332|116 120|IL-4
P09321930A0567|58 61|DCC
P09321930A0567|63 66|APC
P09321930A0567|68 71|MCC
P09321930A0567|73 78|BRCA1
P09321930A0567|89 93|CIP1
P09324720A0317|20 21|3
P09324720A0317|35 36|1
P09325135A0737|8 10|CT
P09325278A0458|190 193|mta
P09325278A0458|193 194|1
P09325278A0458|284 287|mta
P09325278A0458|287 288|1
P09326263A0410|8 12|RACE
P09326263A0410|39 42|PCR
P09326263A0410|44 46|RT
P09326263A0410|47 50|PCR
P09328476A0374|5 6|p
P09328476A0374|99 100|3
P09328476A0374|100 101|p
P09331119A0659|99 101|10
P09333018A0000|34 36|-1
P09339900A0939|77 79|D2
P09339900A0939|133 138|C/EBP
P09339900A0939|146 149|AP2
P09339900A0939|157 162|c-Myc
P09343210A1112|170 176|VCAM-1
P09343210A1112|243 249|VCAM-1
P09343426A0456|114 115|A
P09345037A0886|70 76|GATA-1
P09346238T0000|75 78|SCF
P09346935A0927|167 170|pol
P09346953A0000|268 269|3
P09346953A0000|290 291|3
P09353255A0159|4 5|p
P09353343A0919|135 143|hnRNP A1
P09354644A0124|120 123|Gal
P09360956A0840|131 134|Raf
P09360956A0840|160 163|Raf
P09361007A0922|2 9|DNase I
P09365272T0000|8 29|Ran-binding protein 1
P09365272T0000|97 100|egg
P09366456A0234|187 190|mas
P09366456A0234|205 206|2
P09367676A0275|156 158|TS
P09368057A1083|105 107|GC
P09368057A1083|178 181|SRF
P09369451A0693|39 43|AP-1
P09369451A0693|213 217|OP-1
P09369453A0273|118 119|C
P09372968A0532|127 130|arm
P09372968A0996|132 134|-1
P09374082A0504|158 160|PG
P09374082A0504|162 165|PGD
P09374082A0504|166 167|2
P09374082A0504|186 187|2
P09376626A0737|46 47|h
P09376626A0737|55 56|h
P09376626A0737|66 67|C
P09376626A0737|78 79|A
P09376626A0737|86 87|h
P09376626A0737|98 99|B
P09376626A0737|106 107|h
P09380707A0714|42 46|SMRT
P09382498A0618|140 141|2
P09388198A1396|98 101|MAP
P09389198A0363|90 92|12
P09389198A0363|93 94|A
P09395525A0395|56 61|C/EBP
P09395525A0395|186 191|IGF-I
P09395525A0395|201 202|1
P09398855A0438|9 10|J
P09398855A0438|50 51|T
P09398855A0438|293 294|p
P09402139A1121|66 71|PEPCK
P09402139A1121|233 240|IGFBP-1
P09409416A0111|109 113|TC-2
P09417928A0980|111 112|3
P09418905A1396|76 79|PLC
P09418905A1396|85 86|1
P09418905A1396|96 99|DAG
P09418905A1396|127 130|EGF
P09418905A1396|149 150|S
P09418905A1396|215 218|PKC
P09420275A1111|55 58|LMP
P09420275A1111|58 60|-1
P09420275A1111|62 65|LMP
P09420275A1111|73 77|CD23
P09421516A1516|100 101|3
P09422351A0000|45 49|CaMK
P09423856A1098|266 267|N
P09425036A0649|72 75|Lck
P09425036A0649|144 147|Csk
P09427844A0739|89 92|dGK
P09427844A0739|96 99|dCK
P09427844A0739|112 113|2
P09430668A0172a|17 33|HMG-CoA synthase
P09431812A0576|149 151|S2
P09435116A0437|44 46|MS
P09435789A0961a|16 21|RAD24
P09435789A0961a|26 30|MEC3
P09435789A0961a|75 76|S
P09436795A0350|32 33|S
P09436795A0350|91 92|2
P09436795A0350|114 115|5
P09436989A1011|172 176|pole
P09441746A0546|46 51|GHS-R
P09441746A0546|66 71|GPR39
P09442024A0708|20 22|H1
P09442024A0708|65 67|NP
P09442031A0586|111 112|C
P09442031A0586|132 136|TSHR
P09442031A0586|179 180|1
P09442080A0856|59 64|SHP-1
P09442080A0856|69 74|SHP-2
P09442080A0856|108 113|SHP-2
P09442080A0856|123 128|SHP-1
P09442080A0856|184 187|GHR
P09447963A0223|95 97|SR
P09447973A0168|118 121|NIH
P09447973A0168|122 123|3
P09447973A0168|157 158|C
P09447973A0168|175 176|1
P09447994A0000|129 132|AMP
P09447994A0000|189 192|fos
P09451003A0894|182 185|CRP
P09452421A1042|33 34|2
P09452421A1042|35 36|B
P09452421A1042|120 123|Tyr
P09463380A1050|15 17|KN
P09463380A1050|98 99|5
P09464248A0289|12 16|TATA
P09467707T0000|95 96|A
P09468515A0621|93 97|SF-1
P09468515A0621|163 167|SF-1
P09469933A1060|53 61|CLIP-170
P09469933A1060|94 100|Restin
P09472616A1004|58 59|B
P09472616A1004|64 65|C
P09478976A0718|134 137|OSM
P09478976T0000|26 29|Fos
P09478976T0000|69 73|AP-1
P09478976T0000|130 132|-1
P09480831A0272|90 91|5
P09480831A0272|112 114|AM
P09484781A1233|103 106|PKB
P09484781A1233|107 110|Akt
P09488486A0906|16 19|TBP
P09488486A0906|138 141|Pol
P09498553T0000|67 72|CYP51
P09498553T0000|94 98|P450
P09501093A0071|112 115|key
P09506959T0000|100 103|Max
P09506959T0000|104 107|Mad
P09507032A1144|59 64|CSF1R
P09507032A1144|65 67|IR
P09507032A1144|81 86|CSF-1
P09510189A0192|125 126|5
P09510925A0389|55 56|g
P09510925A0389|59 61|-1
P09514159A0562|62 66|Ptx1
P09514962A0841|59 60|T
P09514962A0841|76 78|EL
P09528758T0000|94 99|Oct-3
P09528758T0000|106 111|Oct-6
P09528758T0000|163 165|-1
P09528768A0000|143 145|ER
P09528792A0000|65 67|R2
P09529156A1238|53 56|PKC
P09529156A1238|117 119|12
P09535082A0537|270 272|CI
P09535835A0279|8 16|Kinectin
P09535835A0279|74 79|Cdc42
P09536028A0945|148 151|EGF
P09543227A0815|59 60|1
P09543227A0815|75 76|B
P09543227A0815|107 108|2
P09543227A0815|127 128|C
P09543227A0815|159 160|3
P09544987A1583|37 38|B
P09544991A0750|131 136|Stat5
P09544991A0750|141 147|Stat5b
P09544991A0750|194 199|Stat5
P09544991A0750|256 261|Stat5
P09544991A0750|269 275|Stat5b
P09545146A0884|97 98|F
P09545146A0884|150 152|Cl
P09545146A0884|153 154|F
P09545146A0884|249 252|set
P09545332A0137|111 115|IRS1
P09545332A0137|161 165|IL-4
P09545638A1181|39 41|L2
P09549398A1463|93 97|rest
P09549398A1463|116 120|rest
P09553134A0596|4 14|N-syndecan
P09553134A0596|101 102|A
P09553134A0596|107 110|PP1
P09556566A0174|32 35|VDR
P09556566A0174|99 100|T
P09556566A0174|111 114|MT2
P09564860A2139|149 152|M2A
P09566731A0458|89 90|p
P09570107A0355|36 39|ash
P09570107A0355|70 73|ash
P09570952A0000|66 75|M-protein
P09572511A0148|30 33|MAP
P09572511A0148|76 78|EM
P09572511A0148|80 83|RBI
P09572511A0148|84 86|EM
P09572965A1235|13 17|ORF5
P09573884A0392|32 33|N
P09573884A0392|34 35|B
P09573884A0392|40 41|S
P09573884A0392|42 43|N
P09582327A0295|65 78|GnRH receptor
P09582327A0295|85 89|GGH3
P09582327A0295|89 91|-1
P09582327A0295|200 201|5
P09582327A0295|235 236|5
P09582327A0295|255 256|5
P09582327A0295|345 349|GnRH
P09582327A0295|365 367|10
P09582635A0523|175 176|2
P09582953A1097|93 95|AP
P09582953A1097|108 109|C
P09584180A0701|122 126|IL-4
P09584180A0701|145 146|B
P09586832A0229|62 68|5-HT1A
P09599897A0000|221 239|C-reactive protein
P09599897A0000|241 244|CRP
P09599897A0000|264 267|PLT
P09611229A1664|46 50|nmt1
P09611229A1664|225 226|N
P09614065A0966|144 148|AP-1
P09618475A0747|114 115|1
P09619631A0344|135 138|GAP
P09627285A0554|61 62|3
P09632217A0477|139 141|10
P09642238A1285|50 56|GATA-1
P09642238A1285|109 114|COS-1
P09645576A0148|54 57|BMT
P09645942A1164|75 76|1
P09645942A1164|77 78|1
P09649315A0943|71 72|N
P09649315A0943|94 99|MIP-1
P09649426A0636|66 67|2
P09649426A0636|67 68|p
P09649426A0636|73 76|Msn
P09649426A0636|77 78|p
P09649537A0000|53 63|eIF-2alpha
P09649537A0000|76 77|2
P09650180A1130|90 92|up
P09650180A1130|113 115|-1
P09651321A0000|9 10|A
P09651375T0000|96 102|PSD-95
P09651375T0000|109 111|-1
P09655248A0000|10 17|Megalin
P09655248A0000|18 23|LRP-2
P09655916A0415|77 78|N
P09660838A0920|105 109|HSF1
P09662339A0744|79 83|AP-1
P09662339A0744|136 140|CD44
P09666114A0389|86 90|TATA
P09666114A0389|136 137|C
P09670034A0340|23 24|1
P09670034A0340|24 25|p
P09670034A0340|63 64|3
P09670034A0340|64 65|p
P09670034A0340|97 102|Rad17
P09670034A0340|102 103|p
P09670943T0000|25 28|BCR
P09670943T0000|54 59|SHP-2
P09670943T0000|60 65|pp120
P09670943T0000|111 114|BCR
P09671313A0334|49 51|al
P09671464A0316|144 145|1
P09687511A1091|36 39|BCR
P09687511A1091|40 43|ABL
P09687511A1091|162 167|G-CSF
P09689047A0253|106 107|5
P09689047A0253|123 124|N
P09689047A0253|155 156|5
P09693134A0782|167 168|1
P09693134A0782|216 217|2
P09693134A0782|311 312|3
P09694860A0498|35 38|PTP
P09694860A0498|64 65|N
P09704927A0479|44 45|1
P09710615T0000|9 16|SNAP-25
P09710615T0000|39 40|3
P09710615T0000|40 41|p
P09712859A1110|36 42|NF-AT4
P09712915A0672|133 136|Sp3
P09712919A0307|138 139|T
P09713990T0000|106 110|TP53
P09715384A0235|72 73|J
P09715384A0235|138 140|up
P09715384A0235|144 145|1
P09717246A0526|173 175|-1
P09722508A0953|147 150|HEK
P09727045A0817|157 159|AR
P09727045A0817|160 161|N
P09727046A0000|57 58|5
P09727046A0000|128 129|2
P09727046A0000|183 186|LCR
P09727046A0000|189 192|Lam
P09729481A0000|117 119|GC
P09731513A1090|98 102|AP-1
P09731513A1090|139 143|IL-8
P09733794A1323|83 86|Bad
P09735286A0599|85 86|B
P09736697A0783|95 99|ERK2
P09736697A1107|163 168|Stat3
P09743233A0526|23 27|AP-1
P09747873T0000|35 40|GRB10
P09747873T0000|56 59|BCR
P09747873T0000|60 63|ABL
P09751114A0967|62 64|E1
P09751114A0967|66 68|E3
P09753774A1642|34 37|sst
P09753774A1642|78 79|1
P09753775A0734|91 92|2
P09753775A0734|106 108|H1
P09754571A0169|66 67|3
P09754571A0169|67 69|G1
P09754571A0169|107 111|RAG1
P09763446A1234|12 15|GAP
P09763446A1234|34 35|1
P09763446A1234|35 36|p
P09763470A1756|138 142|CREB
P09763470A1756|144 147|AP2
P09763470A1756|153 156|Sp1
P09763470A1756|195 198|DBH
P09763522A2545|35 42|N-SMase
P09763522A2545|68 77|TNF-alpha
P09765277A0000|55 61|Glut 3
P09765285A0998|96 101|AaEcR
P09765285A0998|108 110|10
P09765285A0998|126 128|-1
P09765411A0991|110 112|CP
P09765411A0991|199 202|NH2
P09765411A0991|213 216|S27
P09767504A1371|77 78|1
P09767504A1371|79 80|h
P09767504A1371|119 121|up
P09767504A1371|125 126|6
P09767504A1371|127 128|h
P09767575A0657|53 55|SD
P09767575A0657|148 149|3
P09778191A0000|180 183|MRI
P09784245T0000|39 40|C
P09784245T0000|76 77|A
P09784245T0000|97 98|C
P09790771A0956|0 6|Gng3lg
P09794795A0183|277 282|STAT3
P09794795A0183|287 292|STAT1
P09794795A0183|301 304|src
P09794795A0183|322 325|SH2
P09795130A0742|43 45|se
P09795213A0129|104 107|TAF
P09795213A0129|116 119|sub
P09795213A0129|134 139|TFIID
P09795213A0129|306 309|FUS
P09795213A0129|342 347|TFIID
P09799086A0725|152 153|3
P09801333A0174|98 100|PA
P09804779A1163|209 214|Stat5
P09805052A0119|130 131|2
P09805052A0119|140 142|12
P09806857A0854|154 155|M
P09814637A1214|94 97|MRI
P09819110A0703|94 96|LD
P09819377A1209|18 19|5
P09819377A1209|94 95|3
P09822602A1172|178 183|HIF-1
P09822825A0141|62 66|BAP3
P09823775A1122|74 81|HLA-DRA
P09833740A1112|163 172|TNF-alpha
P09834070A0793|96 99|Ca2
P09834070A0793|154 155|C
P09834070A0793|208 212|CD19
P09834070A0793|223 224|B
P09835615A0574|109 111|R1
P09835615A0574|116 118|R2
P09837715A0581|174 176|-1
P09837715A0581|220 223|CAT
P09837945A0820|26 27|p
P09837945A0820|136 137|1
P09837945A0820|137 138|p
P09840932A0365|39 44|B-Myb
P09840932A0365|91 95|Cdk2
P09843572A0944|109 113|Wee1
P09843572A0944|149 153|Wee1
P09844921A0000|9 12|key
P09846482A0441|75 78|p21
P09846482A0441|104 105|1
P09849961A0387|19 24|IRS-1
P09849961A0387|78 80|PI
P09849961A0387|81 82|3
P09849961A0387|153 158|IRS-1
P09852005A1287|141 145|SAP1
P09852109A1475|205 206|D
P09852109A1475|224 225|5
P09855111A0905|296 297|A
P09855111A0905|299 302|HMG
P09858577A1186|37 41|ENA1
P09858577A1186|141 142|1
P09858577A1186|142 143|p
P09858588A1046|80 81|S
P09858588A1046|116 118|G2
P09858593A0334|65 72|NeuroD1
P09858593A0334|73 78|BETA2
P09858745A2033|141 145|clcA
P09862343A0225|51 55|IL-4
P09862343A0225|148 150|up
P09862343A0225|193 194|B
P09864141A0528|25 30|Stat3
P09872326A0566|45 49|cdc2
P09872326A0566|68 71|CBF
P09881692A0094|54 55|5
P09882303A1984|47 52|TRAF2
P09882303A1984|56 59|JNK
P09882303A1984|136 139|TNF
P09882303A1984|149 153|CD40
P09891065A1493|86 95|PKC-alpha
P09891065A1493|99 102|PKC
P09891085A0815|4 5|p
P09891085A0815|55 56|p
P09914500A0000|174 176|-1
P09914500A0000|204 207|TNF
P09916809A0405|15 17|10
P09918715A1158|95 98|TBP
P09918715A1158|137 140|TBP
P09920930A0521|104 107|LPA
P09920930A0521|121 124|Fos
P09920930A0959|80 84|AP-1
P09920930A0959|153 157|AP-1
P09927449A0421|53 55|G1
P09927449A0421|101 105|CLN1
P09927449A0421|110 114|CLN2
P09931435A0357|65 68|ZIS
P09931435A0357|85 88|ZIS
P09931435A0357|88 90|-1
P09931435A0357|114 116|10
P09931435A0357|116 118|th
P09931435A0357|128 131|ZIS
P09931435A0357|131 133|-1
P09931435A0357|175 176|3
P09933641A0241|42 43|5
P09933641A0241|136 137|3
P09933641A0241|166 167|3
P09949178A0264|106 107|B
P09949178A0264|127 128|1
P09949178A0264|128 130|A9
P09983871T0000|34 35|3
P09990060A0803|146 150|CD18
P09990507A0763|46 50|Pop1
P09990507A0763|58 59|2
P09990507A0763|115 116|F
P10002245T0000|77 78|3
P10036191A0000|124 128|TFE3
P10036191A0000|130 134|TFEB
P10036191A0000|136 140|TFEC
P10036191A0000|146 150|Mitf
P10051488A1610|17 21|AP-1
P10051488A1610|34 40|TIMP-1
P10051488A1610|82 84|-1
P10052878A0135|20 22|up
P10063739A0601|192 195|EVL
P10065684A0916|184 185|p
P10065684A0916|218 221|sar
P10065684A0916|310 311|p
P10072205A0167|59 62|MAP
P10073899A0740|86 89|per
P10074520T0000|133 136|PCR
P10085140A1004|131 135|TAK1
P10086544A0504|74 76|12
P10086725A0000|33 34|3
P10090146T0000|27 36|AP-2alpha
P10090146T0000|41 45|AP-2
P10090146T0000|96 102|R-FABP
P10090146T0000|124 128|AP-2
P10090943A1976|62 67|CD79b
P10090943A1976|148 149|B
P10090943A1976|166 167|B
P10092132A0285|130 131|3
P10092132A0285|139 140|5
P10092132A0285|140 141|p
P10092132A0285|163 164|p
P10092132A0285|170 172|12
P10092132A0285|172 173|p
P10098601A1320|128 132|SF-1
P10101159A0742|25 29|SOC1
P10101198A0632|75 76|N
P10101198A0946|137 142|mTERF
P10101744A0917|44 45|h
P10171173A0955|126 127|A
P10171173A0955|133 134|B
P10192134A1088|122 124|D3
P10192432A0214|10 12|12
P10192432A0214|100 102|12
P10192432A0214|144 146|so
P10192432A0214|169 172|set
P10194762A0648|86 87|C
P10194762A0648|137 139|GH
P10194762A0648|165 169|ERK1
P10194762A0648|170 171|2
P10195697A0456|11 16|SRC-1
P10195697A0456|32 35|CBP
P10196318T0000|87 88|6
P10196318T0000|89 91|E6
P10196318T0000|101 103|E1
P10197985A0145|9 16|RNase H
P10197985A0145|106 107|5
P10197985A0145|122 123|5
P10197985A0145|154 157|BPS
P10207087A0956|175 179|AML1
P10209031A0832|8 11|NH2
P10209031A0832|89 92|Fyn
P10209031A0832|104 107|SH2
P10211919A0846|110 111|3
P10211919A0846|181 182|6
P10215594A1728|58 62|CRE1
P10215594A1728|67 71|CRE2
P10215594A1728|111 115|CRE1
P10215594A1728|116 117|3
P10215594A1728|118 122|CRE2
P10215594A1728|123 124|2
P10215594A1728|178 179|2
P10219091A0246|81 82|1
P10221820A0902|157 160|AMT
P10223338A1601|117 119|-1
P10223338A1601|128 130|-1
P10223338A1601|137 139|-1
P10223338A1601|150 152|-1
P10226029A0905|38 41|Akt
P10226029A0905|42 45|PKB
P10229668A0560|7 9|-1
P10229668A0560|42 46|Cln3
P10229668A0560|46 47|p
P10229668A0560|49 53|Cln3
P10229668A0560|53 55|-1
