nfz8w8na,421f8341eae777852e0b4584e7221b39a0544518,CZI,"The Politics of Disease Epidemics: a Comparative Analysis of the SARS, Zika, and Ebola Outbreaks",10.1007/s40609-018-0123-y,,,cc-by,"Over the past few decades, disease outbreaks have become increasingly frequent and widespread. The epicenters of these outbreaks have differed, and could be linked to different economic contexts. Arguably, the responses to these outbreaks have been “political” and inherently burdensome to marginalized populations. Key lessons can be learned from exploring the narratives about the different epidemics in varying income settings. Based on a review of the published medical, social, and political literature, which was accessed using four electronic databases—PubMed, Sociological Abstracts, Scholars Portal, and Web of Science, the overall objective of this paper discuss scholars’ narratives on the “politics” of Ebola in a low-income setting, Zika virus in a middle-income setting, and SARS in a high-income setting. Various themes of the politics of epidemics were prominent in the literature. The narratives demonstrated the influence of power in whose narratives and what narratives are presented in the literature. While marginalized populations were reported to have borne the brunt of all disease outbreaks in the different contexts, the prevalence of their narratives within the reviewed literature was limited. Regardless of income setting, there is a need to give voice to the most marginalized communities during an epidemic. The experiences and narratives of those most vulnerable to an epidemic—specifically poor communities—need to be represented in the literature. This could contribute to mitigating some of the negative impact of the politics in epidemics.",2020,"Kapiriri, Lydia; Ross, Alison",Global Social Welfare,2890713974,#1136,True,comm_use_subset,https://doi.org/10.1007/s40609-018-0123-y
c0w9bw5u,aa973f2833829b97ebdfd6ce2ac6a29b9100db3a,PMC,Middle East respiratory syndrome coronavirus M protein suppresses type I interferon expression through the inhibition of TBK1-dependent phosphorylation of IRF3,10.1038/emi.2016.33,PMC4855074,27094905,cc-by,"Middle East respiratory syndrome coronavirus (MERS-CoV) infection has claimed hundreds of lives and has become a global threat since its emergence in Saudi Arabia in 2012. The ability of MERS-CoV to evade the host innate antiviral response may contribute to its severe pathogenesis. Many MERS-CoV-encoded proteins were identified to have interferon (IFN)-antagonizing properties, which correlates well with the reduced IFN levels observed in infected patients and ex vivo models. In this study, we fully characterized the IFN-antagonizing property of the MERS-CoV M protein. Expression of MERS-CoV M protein suppressed type I IFN expression in response to Sendai virus infection or poly(I:C) induction. This suppressive effect was found to be specific for the activation of IFN regulatory factor 3 (IRF3) but not nuclear factor-κB. MERS-CoV M protein interacted with TRAF3 and disrupted TRAF3–TBK1 association leading to reduced IRF3 activation. M proteins from MERS-CoV and SARS-CoV have three highly similar conserved N-terminal transmembrane domains and a C-terminal region. Using chimeric and truncation mutants, the N-terminal transmembrane domains of the MERS-CoV M protein were found to be sufficient for its inhibitory effect on IFN expression, whereas the C-terminal domain was unable to induce this suppression. Collectively, our findings suggest a common and conserved mechanism through which highly pathogenic MERS-CoV and SARS-CoV harness their M proteins to suppress type I IFN expression at the level of TBK1-dependent phosphorylation and activation of IRF3 resulting in evasion of the host innate antiviral response.",2016-04-20,"Lui, Pak-Yin; Wong, Lok-Yin Roy; Fung, Cheuk-Lai; Siu, Kam-Leung; Yeung, Man-Lung; Yuen, Kit-San; Chan, Chi-Ping; Woo, Patrick Chiu-Yat; Yuen, Kwok-Yung; Jin, Dong-Yan",Emerg Microbes Infect,,,True,comm_use_subset,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4855074/
b78pccz5,f9e8af068e552f4327e0e7cdd359674967d9d422; c5375b07f72048d739efc376420a5cb5374392d6,PMC,Reducing burden of disease from residential indoor air exposures in Europe (HEALTHVENT project),10.1186/s12940-016-0101-8,PMC4895703,26961383,cc-by,"BACKGROUND: The annual burden of disease caused indoor air pollution, including polluted outdoor air used to ventilate indoor spaces, is estimated to correspond to a loss of over 2 million healthy life years in the European Union (EU). Based on measurements of the European Environment Agency (EEA), approximately 90 % of EU citizens live in areas where the World Health Organization (WHO) guidelines for air quality of particulate matter sized < 2.5 mm (PM(2.5)) are not met. Since sources of pollution reside in both indoor and outdoor air, selecting the most appropriate ventilation strategy is not a simple and straightforward task. METHODS: A framework for developing European health-based ventilation guidelines was created in 2010–2013 in the EU-funded HEALTHVENT project. As a part of the project, the potential efficiency of control policies to health effects caused by residential indoor exposures of fine particulate matter (PM(2.5)), outdoor bioaerosols, volatile organic compounds (VOC), carbon oxide (CO) radon and dampness was estimated. The analysis was based on scenario comparison, using an outdoor-indoor mass-balance model and varying the ventilation rates. Health effects were estimated with burden of diseases (BoD) calculations taking into account asthma, cardiovascular (CV) diseases, acute toxication, respiratory infections, lung cancer and chronic obstructive pulmonary disease (COPD). RESULTS: The quantitative comparison of three main policy approaches, (i) optimising ventilation rates only; (ii) filtration of outdoor air; and (iii) indoor source control, showed that all three approaches are able to provide substantial reductions in the health risks, varying from approximately 20 % to 44 %, corresponding to 400 000 and 900 000 saved healthy life years in EU-26. PM(2.5) caused majority of the health effects in all included countries, but the importance of the other pollutants varied by country. CONCLUSIONS: The present modelling shows, that combination of controlling the indoor air sources and selecting appropriate ventilation rate was the most effective to reduce health risks. If indoor sources cannot be removed or their emissions cannot be limited to an accepted level, ventilation needs to be increased to remove remaining pollutants. In these cases filtration of outdoor air may be needed to prevent increase of health risks. ELECTRONIC SUPPLEMENTARY MATERIAL: The online version of this article (doi:10.1186/s12940-016-0101-8) contains supplementary material, which is available to authorized users.",2016-03-08,"Asikainen, Arja; Carrer, Paolo; Kephalopoulos, Stylianos; Fernandes, Eduardo de Oliveira; Wargocki, Pawel; Hänninen, Otto",Environ Health,,,True,comm_use_subset,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4895703/
fqna8ffg,c8d2fa6e178d17b218df59b33cfcb5839af7dc7f; 34c60b33c493dfe1545112d9f4b1107576f11dbd,PMC,No involvement of alveolar macrophages in the initiation of carbon nanoparticle induced acute lung inflammation in mice,10.1186/s12989-016-0144-6,PMC4915176,27328634,cc-by,"BACKGROUND: Carbonaceous nanoparticles (CNP) represent a major constituent of urban particulate air pollution, and inhalation of high CNP levels has been described to trigger a pro-inflammatory response of the lung. While several studies identified specific particle characteristics driving respiratory toxicity of low-solubility and low-toxicity particles such as CNP, the major lung cell type, which initiates and drives that response, remains still uncertain. Since alveolar macrophages (AM) are known to effectively phagocytose inhaled particles and play a crucial role for the initiation of pulmonary inflammation caused by invading microbes, we aimed to determine their role for sterile stimuli such as CNP by profiling the primary alveolar cell compartments of the lung. We exposed C57BL/6 mice to 20 μg CNP by intratracheal instillation and comprehensively investigated the expression of the underlying mediators during a time span of 3 to 72 h in three different lung cell populations: CD45- (negative) structural cells, CD45+ (positive) leukocytes, and by BAL recovered cells. RESULTS: Bronchoalveolar lavage (BAL) analysis revealed an acute inflammatory response characterized by the most prominent culmination of neutrophil granulocytes from 12 to 24 h after instillation, which declined to basal levels by day 7. As early as 3 h after CNP exposure 50 % of the AM revealed particle laden. BAL concentrations and lung gene expression profiles of TNFα, and the neutrophil chemoattractants CXCL1,-2 and-5 preceded the neutrophil recruitment and showed highest levels after 12 h of CNP exposure, pointing to a significant activation of the inflammation-evoking lung cells at this point of time. AM, isolated from lungs 3 to 12 h after CNP instillation, however, did not show a pro-inflammatory signature. On the contrary, gene expression analysis of different lung cell populations isolated 12 h after CNP instillation revealed CD45-, mainly representing alveolar epithelial type II (ATII) cells as major producer of inflammatory CXCL cytokines. Particularly by CD45- cells expressed Cxcl5 proved to be the most abundant chemokine, being 12 h after CNP exposure 24 (±11) fold induced. CONCLUSION: Our data suggests that AM are noninvolved in the initiation of the inflammatory response. ATII cells, which induced highest CXCL levels early on, might in contrast be the driver of acute neutrophilic inflammation upon pulmonary CNP exposure. ELECTRONIC SUPPLEMENTARY MATERIAL: The online version of this article (doi:10.1186/s12989-016-0144-6) contains supplementary material, which is available to authorized users.",2016-06-21,"Chen, Shanze; Yin, Renfu; Mutze, Kathrin; Yu, Youjia; Takenaka, Shinji; Königshoff, Melanie; Stoeger, Tobias",Part Fibre Toxicol,,,True,comm_use_subset,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4915176/
rdgm0q7m,dcd1759241f327b5235520cebe1f7432aa936c5d; 6fb5ec70b6d25243856c076c05809c2ed9d49bf1,PMC,A novel role for poly(C) binding proteins in programmed ribosomal frameshifting,10.1093/nar/gkw480,PMC4937337,27257056,cc-by,"Translational control through programmed ribosomal frameshifting (PRF) is exploited widely by viruses and increasingly documented in cellular genes. Frameshifting is induced by mRNA secondary structures that compromise ribosome fidelity during decoding of a heptanucleotide ‘slippery’ sequence. The nsp2 PRF signal of porcine reproductive and respiratory syndrome virus is distinctive in directing both −2 and −1 PRF and in its requirement for a trans-acting protein factor, the viral replicase subunit nsp1β. Here we show that the the trans-activation of frameshifting is carried out by a protein complex composed of nsp1β and a cellular poly(C) binding protein (PCBP). From the results of in vitro translation and electrophoretic mobility shift assays, we demonstrate that a PCBP/nsp1β complex binds to a C-rich sequence downstream of the slippery sequence and here mimics the activity of a structured mRNA stimulator of PRF. This is the first description of a role for a trans-acting cellular protein in PRF. The discovery broadens the repertoire of activities associated with poly(C) binding proteins and prototypes a new class of virus–host interactions.",2016-07-08,"Napthine, Sawsan; Treffers, Emmely E.; Bell, Susanne; Goodfellow, Ian; Fang, Ying; Firth, Andrew E.; Snijder, Eric J.; Brierley, Ian",Nucleic Acids Res,,,True,comm_use_subset,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4937337/
d1m2wv8r,a51659a324f74a7cf16acd3b1180d203cab2b8d4,PMC,Profiling of Host Cell Response to Successive Canine Parvovirus Infection Based on Kinetic Proteomic Change Identification,10.1038/srep29560,PMC4942776,27406444,cc-by,"Canine parvovirus (CPV) reproduces by co-opting the resources of host cells, inevitably causing cytotoxic effects to the host cells. Feline kidney F81 cells are sensitive to CPV infection and show disparate growing statuses at different time points post-infection. This study analysed the response of F81 cells to CPV infection at successive infection time points by iTRAQ-based quantitative proteomics. Differentially expressed proteins (DEPs) during 60 h of infection and at selected time points post-infection were identified by an analysis of variance test and a two-tailed unpaired t test, respectively. DEPs with similar quantitative changes were clustered by hierarchical clustering and analysed by gene ontology enrichment, revealing that 12 h and 60 h post-infection were the optimal times to analyse the autonomous parvovirus replication and apoptosis processes, respectively. Using the Metacore(TM) database, 29 DEPs were enriched in a network involved in p53 regulation. Besides, a significantly enriched pathway suggests that the CPV-induced cytopathic effect was probably due to the deficiency of functional CFTR caused by CPV infection. This study uncovered the systemic changes in key cellular factors involved in CPV infection and help to understand the molecular mechanisms of the anti-cancer activity of CPV and the cytopathic effects induced by CPV infection.",2016-07-13,"Zhao, Hang; Cheng, Yuening; Wang, Jianke; Lin, Peng; Yi, Li; Sun, Yaru; Ren, Jingqiang; Tong, Mingwei; Cao, Zhigang; Li, Jiawei; Deng, Jinliang; Cheng, Shipeng",Sci Rep,,,True,comm_use_subset,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4942776/
o3sjailf,7c53b0536ccc6dd11ad7de4f55c0baa934f38763,PMC,Astrovirus VA1 identified by next-generation sequencing in a nasopharyngeal specimen of a febrile Tanzanian child with acute respiratory disease of unknown etiology,10.1038/emi.2016.67,PMC4972905,27381218,cc-by,,2016-07-06,"Cordey, Samuel; Brito, Francisco; Vu, Diem-Lan; Turin, Lara; Kilowoko, Mary; Kyungu, Esther; Genton, Blaise; Zdobnov, Evgeny M; D'Acremont, Valérie; Kaiser, Laurent",Emerg Microbes Infect,,,True,comm_use_subset,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4972905/
sb3ccvsk,376ac2d5c7446918fdc12ef89696687b8a2b23d8,PMC,Differential Regulation of Self-reactive CD4(+) T Cells in Cervical Lymph Nodes and Central Nervous System during Viral Encephalomyelitis,10.3389/fimmu.2016.00370,PMC5030268,27708643,cc-by,"Viral infections have long been implicated as triggers of autoimmune diseases, including multiple sclerosis (MS), a central nervous system (CNS) inflammatory demyelinating disorder. Epitope spreading, molecular mimicry, cryptic antigen, and bystander activation have been implicated as mechanisms responsible for activating self-reactive (SR) immune cells, ultimately leading to organ-specific autoimmune disease. Taking advantage of coronavirus JHM strain of mouse hepatitis virus (JHMV)-induced demyelination, this study demonstrates that the host also mounts counteractive measures to specifically limit expansion of endogenous SR T cells. In this model, immune-mediated demyelination is associated with induction of SR T cells after viral control. However, their decline during persisting infection, despite ongoing demyelination, suggests an active control mechanism. Antigen-specific IL-10-secreting CD4(+) T cells (Tr1) and Foxp3(+) regulatory T cells (Tregs), both known to control autoimmunity and induced following JHMV infection, were assessed for their relative in vivo suppressive function of SR T cells. Ablation of Foxp3(+) Tregs in chronically infected DEREG mice significantly increased SR CD4(+) T cells within cervical lymph nodes (CLN), albeit without affecting their numbers or activation within the CNS compared to controls. In contrast, infected IL-27 receptor deficient (IL-27R(−/−)) mice, characterized by a drastic reduction of Tr1 cells, revealed that SR CD4(+) T cells in CLN remained unchanged but were specifically increased within the CNS. These results suggest that distinct Treg subsets limit SR T cells in the draining lymph nodes and CNS to maximize suppression of SR T-cell-mediated autoimmune pathology. The JHMV model is thus valuable to decipher tissue-specific mechanisms preventing autoimmunity.",2016-09-21,"Savarin, Carine; Bergmann, Cornelia C.; Hinton, David R.; Stohlman, Stephen A.",Front Immunol,,,True,comm_use_subset,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5030268/
0oq4kkn5,9c1c6037784f97a987e79a92077dad0d252b7236; 4146f749b0883891603380e62be449df9a94a1a3,PMC,Irreversible inhibitors of the 3C protease of Coxsackie virus through templated assembly of protein-binding fragments,10.1038/ncomms12761,PMC5052702,27677239,cc-by,"Small-molecule fragments binding to biomacromolecules can be starting points for the development of drugs, but are often difficult to detect due to low affinities. Here we present a strategy that identifies protein-binding fragments through their potential to induce the target-guided formation of covalently bound, irreversible enzyme inhibitors. A protein-binding nucleophile reacts reversibly with a bis-electrophilic warhead, thereby positioning the second electrophile in close proximity of the active site of a viral protease, resulting in the covalent de-activation of the enzyme. The concept is implemented for Coxsackie virus B3 3C protease, a pharmacological target against enteroviral infections. Using an aldehyde-epoxide as bis-electrophile, active fragment combinations are validated through measuring the protein inactivation rate and by detecting covalent protein modification in mass spectrometry. The structure of one enzyme–inhibitor complex is determined by X-ray crystallography. The presented warhead activation assay provides potent non-peptidic, broad-spectrum inhibitors of enteroviral proteases.",2016-09-28,"Becker, Daniel; Kaczmarska, Zuzanna; Arkona, Christoph; Schulz, Robert; Tauber, Carolin; Wolber, Gerhard; Hilgenfeld, Rolf; Coll, Miquel; Rademann, Jörg",Nat Commun,,,True,comm_use_subset,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5052702/
0nm7wgf5,4bf5ba8fe5af1bf36c9f2f3af74541fbda3a2c89; 5d445fbd8aa18aca2c2f7c947b25ddd62533f96b,PMC,"N-Desmethylclozapine, Fluoxetine, and Salmeterol Inhibit Postentry Stages of the Dengue Virus Life Cycle",10.1128/aac.01367-16,PMC5075077,27572397,cc-by,"Around 10,000 people die each year due to severe dengue disease, and two-thirds of the world population lives in a region where dengue disease is endemic. There has been remarkable progress in dengue virus vaccine development; however, there are no licensed antivirals for dengue disease, and none appear to be in clinical trials. We took the approach of repositioning approved drugs for anti-dengue virus activity by screening a library of pharmacologically active compounds. We identified N-desmethylclozapine, fluoxetine hydrochloride, and salmeterol xinafoate as dengue virus inhibitors based on reductions in the numbers of infected cells and viral titers. Dengue virus RNA levels were diminished in inhibitor-treated cells, and this effect was specific to dengue virus, as other flaviviruses, such as Japanese encephalitis virus and West Nile virus, or other RNA viruses, such as respiratory syncytial virus and rotavirus, were not affected by these inhibitors. All three inhibitors specifically inhibited dengue virus replication with 50% inhibitory concentrations (IC(50)s) in the high-nanomolar range. Estimation of negative-strand RNA intermediates and time-of-addition experiments indicated that inhibition was occurring at a postentry stage, most probably at the initiation of viral RNA replication. Finally, we show that inhibition is most likely due to the modulation of the endolysosomal pathway and induction of autophagy.",2016-10-21,"Medigeshi, Guruprasad R.; Kumar, Rinki; Dhamija, Ekta; Agrawal, Tanvi; Kar, Meenakshi",Antimicrob Agents Chemother,,,True,comm_use_subset,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5075077/
21iw0bej,57b4aa7990ee59eb32397dc0dbb4af096a4e9aa8,PMC,Human Enterovirus 68 Interferes with the Host Cell Cycle to Facilitate Viral Production,10.3389/fcimb.2017.00029,PMC5296350,28229049,cc-by,"Enterovirus D68 (EV-D68) is an emerging pathogen that recently caused a large outbreak of severe respiratory disease in the United States and other countries. Little is known about the relationship between EV-D68 virus and host cells. In this study, we assessed the effect of the host cell cycle on EV-D68 viral production, as well as the ability of EV-D68 to manipulate host cell cycle progression. The results suggest that synchronization in G0/G1 phase, but not S phase, promotes viral production, while synchronization in G2/M inhibits viral production. Both an early EV-D68 isolate and currently circulating strains of EV-D68 can manipulate the host cell cycle to arrest cells in the G0/G1 phase, thus providing favorable conditions for virus production. Cell cycle regulation by EV-D68 was associated with corresponding effects on the expression of cyclins and CDKs, which were observed at the level of the protein and/or mRNA. Furthermore, the viral non-structural protein 3D of EV-D68 prevents progression from G0/G1 to S. Interestingly, another member of the Picornaviridae family, EV-A71, differs from EV-D68 in that G0/G1 synchronization inhibits, rather than promotes, EV-A71 viral replication. However, these viruses are similar in that G2/M synchronization inhibits the production and activity of both viruses, which is suggestive of a common therapeutic target for both types of enterovirus. These results further clarify the pathogenic mechanisms of enteroviruses and provide a potential strategy for the treatment and prevention of EV-D68-related disease.",2017-02-08,"Wang, Zeng-yan; Zhong, Ting; Wang, Yue; Song, Feng-mei; Yu, Xiao-feng; Xing, Li-ping; Zhang, Wen-yan; Yu, Jing-hua; Hua, Shu-cheng; Yu, Xiao-fang",Front Cell Infect Microbiol,,,True,comm_use_subset,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5296350/
7gkdday2,c95aaaeafc4bea827a28f4f300ca76608fecd107,PMC,Bacterial and viral pathogen spectra of acute respiratory infections in under-5 children in hospital settings in Dhaka city,10.1371/journal.pone.0174488,PMC5367831,28346512,cc-by,"The study aimed to examine for the first time the spectra of viral and bacterial pathogens along with the antibiotic susceptibility of the isolated bacteria in under-5 children with acute respiratory infections (ARIs) in hospital settings of Dhaka, Bangladesh. Nasal swabs were collected from 200 under-five children hospitalized with clinical signs of ARIs. Nasal swabs from 30 asymptomatic children were also collected. Screening of viral pathogens targeted ten respiratory viruses using RT-qPCR. Bacterial pathogens were identified by bacteriological culture methods and antimicrobial susceptibility of the isolates was determined following CLSI guidelines. About 82.5% (n = 165) of specimens were positive for pathogens. Of 165 infected cases, 3% (n = 6) had only single bacterial pathogens, whereas 43.5% (n = 87) cases had only single viral pathogens. The remaining 36% (n = 72) cases had coinfections. In symptomatic cases, human rhinovirus was detected as the predominant virus (31.5%), followed by RSV (31%), HMPV (13%), HBoV (11%), HPIV-3 (10.5%), and adenovirus (7%). Streptococcus pneumoniae was the most frequently isolated bacterial pathogen (9%), whereas Klebsiella pneumaniae, Streptococcus spp., Enterobacter agglomerans, and Haemophilus influenzae were 5.5%, 5%, 2%, and 1.5%, respectively. Of 15 multidrug-resistant bacteria, a Klebsiella pneumoniae isolate and an Enterobacter agglomerans isolate exhibited resistance against more than 10 different antibiotics. Both ARI incidence and predominant pathogen detection rates were higher during post-monsoon and winter, peaking in September. Pathogen detection rates and coinfection incidence in less than 1-year group were significantly higher (P = 0.0034 and 0.049, respectively) than in 1–5 years age group. Pathogen detection rate (43%) in asymptomatic cases was significantly lower compared to symptomatic group (P<0.0001). Human rhinovirus, HPIV-3, adenovirus, Streptococcus pneumonia, and Klebsiella pneumaniae had significant involvement in coinfections with P values of 0.0001, 0.009 and 0.0001, 0.0001 and 0.001 respectively. Further investigations are required to better understand the clinical roles of the isolated pathogens and their seasonality.",2017-03-27,"Bhuyan, Golam Sarower; Hossain, Mohammad Amir; Sarker, Suprovath Kumar; Rahat, Asifuzzaman; Islam, Md Tarikul; Haque, Tanjina Noor; Begum, Noorjahan; Qadri, Syeda Kashfi; Muraduzzaman, A. K. M.; Islam, Nafisa Nawal; Islam, Mohammad Sazzadul; Sultana, Nusrat; Jony, Manjur Hossain Khan; Khanam, Farhana; Mowla, Golam; Matin, Abdul; Begum, Firoza; Shirin, Tahmina; Ahmed, Dilruba; Saha, Narayan; Qadri, Firdausi; Mannoor, Kaiissar",PLoS One,,,True,comm_use_subset,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5367831/
eeljt0ur,600daeb2ed49a45c29ca225659768556fcee30d3,PMC,Evaluation of Two Dry Commercial Therapeutic Diets for the Management of Feline Chronic Gastroenteropathy,10.3389/fvets.2017.00069,PMC5423899,28540291,cc-by,"Management of feline chronic gastroenteropathies has included intervention with both veterinary therapeutic formulas designed to manage non-specific gastrointestinal disorders and those designed with limited novel or hydrolyzed ingredients for management of food-responsive enteropathies and steroid-responsive enteropathies (inflammatory bowel disease). There have been few studies evaluating the use of dietary intervention for the management of feline chronic gastroenteropathy. This prospective, multi-center study evaluated the use of two commercially available feline veterinary therapeutic dry diets designed to manage non-specific gastrointestinal disorders in 28 cats with a history of chronic vomiting and/or diarrhea. The majority of cats enrolled in the study had a history of vomiting (n = 25), with a smaller number having a history of concurrent diarrhea (n = 2) or diarrhea alone (n = 3). Cats were excluded if diagnostic tests identified any systemic or infectious disease that could be associated with the clinical signs of vomiting or diarrhea, and if they were panhypoproteinemic, hypoalbuminemic, hypocobalaminemic, or had a Spec fPL ≥5.4 µg/L. Cats were randomized to one of two veterinary therapeutic diets for 4 weeks. Feeding of both therapeutic diets resulted in a numeric reduction in the number of vomiting episodes over the 4-week period, but no significant differences were seen between dietary interventions. When looking within dietary groups, significant differences were seen in cats fed Diet A with reductions of 69.1, 73.3, and 63.2% (p values of 0.008, 0.003, and 0.029) in weeks 2, 3, and 4, respectively, when compared to week 0. The probability of vomiting also showed significant reductions in cats fed Diet A between weeks 0 and 2, 3, and 4, with odds ratios of 0.008, 0.005, and 0.005, respectively (p values of 0.038, 0.23, and 0.23). Results of this study demonstrate that a veterinary therapeutic gastrointestinal formula can be effective in the management of feline chronic vomiting. Cats that fail to respond to this dietary approach after a 2- to 4-week trial may benefit from a limited novel or hydrolyzed ingredient formula and may require additional diagnostics to better characterize the underlying disease.",2017-05-10,"Perea, Sally C.; Marks, Stanley L.; Daristotle, Leighann; Koochaki, Patricia E.; Haydock, Richard",Front Vet Sci,,,True,comm_use_subset,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5423899/
0pmo3opx,dd9a2b263b1b66db904ed8a18dd6eba55e64bfff,PMC,The Rational Design of Therapeutic Peptides for Aminopeptidase N using a Substrate-Based Approach,10.1038/s41598-017-01542-5,PMC5431086,28465619,cc-by,"The M1 family of metalloproteases represents a large number of exopeptidases that cleave single amino acid residues from the N-terminus of peptide substrates. One member of this family that has been well studied is aminopeptidase N (APN), a multifunctional protease known to cleave biologically active peptides and aide in coronavirus entry. The proteolytic activity of APN promotes cancer angiogenesis and metastasis making it an important target for cancer therapy. To understand the substrate specificity of APN for the development of targeted inhibitors, we used a global substrate profiling method to determine the P1–P4′ amino acid preferences. The key structural features of the APN pharmacophore required for substrate recognition were elucidated by x-ray crystallography. By combining these substrate profiling and structural data, we were able to design a selective peptide inhibitor of APN that was an effective therapeutic both in vitro and in vivo against APN-expressing prostate cancer models.",2017-05-02,"Joshi, Shilvi; Chen, Lang; Winter, Michael B.; Lin, Yi-Lun; Yang, Yang; Shapovalova, Mariya; Smith, Paige M.; Liu, Chang; Li, Fang; LeBeau, Aaron M.",Sci Rep,,,True,comm_use_subset,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5431086/
v07oosd2,fa6b3fafeedf308826d58db91499b7c09f172310,PMC,Post weaning diarrhea in pigs: risk factors and non-colistin-based control strategies,10.1186/s13028-017-0299-7,PMC5437690,28526080,cc-by,"Post-weaning diarrhea (PWD) is one of the most serious threats for the swine industry worldwide. It is commonly associated with the proliferation of enterotoxigenic Escherichia coli in the pig intestine. Colistin, a cationic antibiotic, is widely used in swine for the oral treatment of intestinal infections caused by E. coli, and particularly of PWD. However, despite the effectiveness of this antibiotic in the treatment of PWD, several studies have reported high rates of colistin resistant E. coli in swine. Furthermore, this antibiotic is considered of very high importance in humans, being used for the treatment of infections due to multidrug-resistant (MDR) Gram-negative bacteria (GNB). Moreover, the recent discovery of the mcr-1 gene encoding for colistin resistance in Enterobacteriaceae on a conjugative stable plasmid has raised great concern about the possible loss of colistin effectiveness for the treatment of MDR-GNB in humans. Consequently, it has been proposed that the use of colistin in animal production should be considered as a last resort treatment only. Thus, to overcome the economic losses, which would result from the restriction of use of colistin, especially for prophylactic purposes in PWD control, we believe that an understanding of the factors contributing to the development of this disease and the putting in place of practical alternative strategies for the control of PWD in swine is crucial. Such alternatives should improve animal gut health and reduce economic losses in pigs without promoting bacterial resistance. The present review begins with an overview of risk factors of PWD and an update of colistin use in PWD control worldwide in terms of quantities and microbiological outcomes. Subsequently, alternative strategies to the use of colistin for the control of this disease are described and discussed. Finally, a practical approach for the control of PWD in its various phases is proposed.",2017-05-19,"Rhouma, Mohamed; Fairbrother, John Morris; Beaudry, Francis; Letellier, Ann",Acta Vet Scand,,,True,comm_use_subset,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5437690/
ussimhv5,0fb887acf88daa31d5ae2b7d176baf904d6c5dfc,PMC,Recombinant feline parvovirus infection of immunized tigers in central China,10.1038/emi.2017.25,PMC5520303,28588292,cc-by,,2017-06-07,"Wang, Xingang; Li, Tongyi; Liu, Hongying; Du, Jimei; Zhou, Feng; Dong, Yanming; He, Xiuyuan; Li, Yongtao; Wang, Chuanqing",Emerg Microbes Infect,,,True,comm_use_subset,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5520303/
mm83ml06,826307b42adef6c0aa282ada8ec07afb1b35cb3e,PMC,Inhibitors of Deubiquitinating Enzymes Block HIV-1 Replication and Augment the Presentation of Gag-Derived MHC-I Epitopes,10.3390/v9080222,PMC5580479,28805676,cc-by,"In recent years it has been well established that two major constituent parts of the ubiquitin proteasome system (UPS)—the proteasome holoenzymes and a number of ubiquitin ligases—play a crucial role, not only in virus replication but also in the regulation of the immunogenicity of human immunodeficiency virus type 1 (HIV-1). However, the role in HIV-1 replication of the third major component, the deubiquitinating enzymes (DUBs), has remained largely unknown. In this study, we show that the DUB-inhibitors (DIs) P22077 and PR-619, specific for the DUBs USP7 and USP47, impair Gag processing and thereby reduce the infectivity of released virions without affecting viral protease activity. Furthermore, the replication capacity of X4- and R5-tropic HIV-1(NL4-3) in human lymphatic tissue is decreased upon treatment with these inhibitors without affecting cell viability. Most strikingly, combinatory treatment with DIs and proteasome inhibitors synergistically blocks virus replication at concentrations where mono-treatment was ineffective, indicating that DIs can boost the therapeutic effect of proteasome inhibitors. In addition, P22077 and PR-619 increase the polyubiquitination of Gag and thus its entry into the UPS and the major histocompatibility complex (MHC)-I pathway. In summary, our data point towards a model in which specific inhibitors of DUBs not only interfere with virus spread but also increase the immune recognition of HIV-1 expressing cells.",2017-08-12,"Setz, Christian; Friedrich, Melanie; Rauch, Pia; Fraedrich, Kirsten; Matthaei, Alina; Traxdorf, Maximilian; Schubert, Ulrich",Viruses,,,True,comm_use_subset,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5580479/
