P00030183T0000|37 43|HLA-B5
P10587460A0302|64 65|a
P10587460A0302|76 111|C-terminally truncated hVDR mutants
P10587461A0341|83 84|a
P10587461A0341|112 113|a
P10587461A0341|127 128|A
P10587576A0596|105 121|SH3GL pseudogene
P10589711A1228|13 17|narZ
P10589711A1228|79 81|in
P10589711A1228|137 139|in
P10591633A0138|12 14|in
P10591633A0138|124 137|SNARE protein
P10591633A0138|163 164|a
P10591633A0138|178 180|in
P10591933A0798|156 157|a
P10591990A0178|18 20|IV
P10591990A0178|44 46|in
P10591990A0178|113 116|PAS
P10592791A0370|94 97|SET
P10592791A0370|221 224|SEE
P10592791A0370|262 265|SET
P10592791A0370|430 433|SEE
P10592791A0370|455 458|SET
P10592791A0370|459 462|EIA
P10592791A0370|467 469|in
P10594239A0614|47 48|q
P10594239A0614|121 123|in
P10594239A0614|136 139|Ipl
P10594239T0000|8 47|pleckstrin homology-related gene family
P10594239T0000|59 68|Ipl/Tssc3
P10594239T0000|70 76|TDAG51
P10594239T0000|82 86|Tih1
P10596955A1032|71 72|l
P10596955A1032|129 130|l
P10597223A0339|75 78|p21
P10597223A0339|91 92|a
P10597223A0339|93 95|GC
P10597223A0339|108 110|in
P10597223A0339|111 123|p21 promoter
P10597223A0339|209 241|Sp1-family transcription factors
P10597317A1156|76 80|LMP1
P10597317A1156|85 87|in
P10597317A1156|97 98|a
P10597317A1156|113 115|HD
P10597317A1156|212 215|JNK
P10597317A1156|243 247|LMP1
P10597317A1156|256 258|RS
P10598101A0000|19 44|bZIP protein Opaque2 (O2)
P10598101A0000|124 150|22 kDa zein gene promoters
P10598101A0754|4 19|mEmBP-1 protein
P10598101A0754|20 23|can
P10598101A0754|52 53|a
P10598101A0754|84 85|a
P10598101A0754|102 109|O2 site
P10598101A0754|110 112|in
P10598101A0754|148 157|regulated
P10598101A0754|175 176|a
P10598101A0754|177 197|22 kDa zein promoter
P10601344A1653|51 67|Rho-like GTPases
P10601410A0977|39 40|a
P10601410A0977|50 54|IVIg
P10601410A0977|55 57|in
P10601606A0152|96 97|h
P10601606A0152|112 113|C
P10602502A0422|9 20|Tob protein
P10602502A0422|72 74|G1
P10602502A0422|78 79|S
P10602516A0182|13 16|SLK
P10602516A0182|43 93|microtubule and nuclear associated protein (M-NAP)
P10602516A0182|98 104|AT1-46
P10604246A0523|127 128|V
P10604246A0523|154 157|set
P10604246A0523|222 227|white
P10604246A0523|240 243|set
P10604583T0000|46 48|in
P10604583T0000|49 50|a
P10604583T0000|139 140|a
P10604583T0000|194 200|toxins
P10606245A0906|18 25|CDP/cut
P10606245A0906|29 32|ROS
P10606245A0906|67 69|in
P10606245A0906|84 95|OC promoter
P10606245A0906|147 149|OC
P10606272A1241|91 99|SF1 gene
P10606272A1241|122 124|in
P10606272A1241|140 142|in
P10606515A0389|59 94|beta-retinoic acid receptor element
P10606515A0389|106 107|a
P10606515A0389|108 125|DNase I footprint
P10606664A0000|0 21|Snail family proteins
P10606664A0000|38 64|transcriptional regulators
P10607900T0000|0 15|Sak kinase gene
P10607900T0000|30 56|transcriptional regulation
P10611228A1388|4 27|DAP5/p86 apoptotic form
P10611228A1388|49 53|DAP5
P10611228A1388|58 60|in
P10611242A0541|73 86|HIS3 promoter
P10611242A0541|87 89|in
P10611242A0541|103 107|SAGA
P10611242A0541|116 120|Spt3
P10611320A0816|73 81|CAK gene
P10611320A0816|83 87|CAK1
P10611320A0816|102 103|a
P10611320A0816|114 134|44-kDa Cak1p protein
P10612044A1180|49 66|AP-4 binding site
P10612044A1180|136 138|in
P10612044A1180|144 147|Aal
P10612044A1180|158 172|Aal-rpL8 genes
P10612773A1210|29 38|S-100beta
P10613816X0000|49 56|statins
P10613816X0000|104 105|a
P10613874A0663|130 134|able
P10613874A0663|176 180|GlnR
P10613874A0663|185 198|GlnA proteins
P10614676A0000|207 208|E
P10617232A0393|131 133|in
P10618645A0750|21 25|AP-1
P10618645A0750|41 42|a
P10618645A0750|69 70|L
P10623804A0808|104 109|SHP-1
P10623804A0808|114 149|SHP-2 SH2-containing decoy proteins
P10623804A0808|153 167|Fc gamma RIIB1
P10625438A1429|83 85|in
P10625438A1429|135 137|in
P10625438A1429|144 145|a
P10625438A1429|213 215|in
P10627532A0739|31 32|Z
P10627532A0739|62 101|mitogen-activated protein (MAP) kinases
P10627532A0739|169 203|cellular transcription factor ATF2
P10628750A0298|50 90|[tumor necrosis factor-alpha (TNFalpha)]
P10628750A0298|126 200|heterodimeric nuclear factor-kappaB (NF-kappaB) complex Rel A x NF-kappaB1
P10628971A0824|114 150|vacuolar protein sorting genes (VPS)
P10628971A0824|166 192|dynamin family member VPS1
P10629938A1352|42 58|GFP-POLO protein
P10635209A0419|33 37|coat
P10637230A0332|22 27|c-myc
P10637230A0332|76 81|Stat1
P10637230A0332|93 95|in
P10637230A0332|108 112|IFNs
P10639585A0157|11 19|MPO gene
P10639585A0157|20 30|regulation
P10639585A0157|31 34|can
P10642524A0156|65 66|N
P10642524A0156|72 73|C
P10642524A0156|152 154|in
P10644357A0935|88 90|in
P10644357A0935|138 141|VP2
P10644357A0935|146 149|VP3
P10645921A1320|136 137|P
P10645921A1320|190 191|P
P10646863A0838|86 118|endogenous topoisomerase IIalpha
P10647859A0000|417 420|gas
P10650939A1542|40 61|progesterone receptor
P10650939A1542|63 67|PR-B
P10650939A1542|72 76|PR-A
P10650939A1542|85 86|a
P10650939A1542|118 132|PGDH-2368/luc3
P10650958A1315|54 55|a
P10650958A1315|56 79|consensus c-myb element
P10653359A1297|18 20|D2
P10653359A1297|23 25|in
P10653693A0429|72 87|KRAB:KAP-1-RBCC
P10653693A0903|84 94|KAP-1-RBCC
P10653693A0903|99 103|KRAB
P10653693A0903|126 128|in
P10654032A1133|22 23|a
P10654032A1133|98 100|in
P10656161A0316|117 119|in
P10656802A1724|30 61|cathepsin X amino acid sequence
P10656802A1724|68 69|a
P10656802A1724|70 74|beta
P10657238A0541|88 98|mStaf gene
P10657238A0541|120 122|in
P10657238A0541|150 151|a
P10657238A0541|173 174|a
P10657899A0685|113 117|AP-1
P10657899A0685|118 120|in
P10657899A0685|142 144|in
P10657899A0685|145 160|AP-1-luciferase
P10658445A0208|168 169|a
P10660304A0522|15 49|JAK/Tyk family of tyrosine kinases
P10660604A0748|9 25|CARbeta/RXRalpha
P10660604A0748|58 95|HD-PPRE luciferase reporter construct
P10666222A0330|16 48|full-length murine survivin cDNA
P10666238A1322|42 56|E2F-1 promoter
P10666238A1322|64 78|E4-6/7 protein
P10666238A1322|88 90|in
P10666238A1322|132 146|E2F-1 promoter
P10666238A1322|156 158|in
P10669736A0903|32 34|in
P10669736A0903|35 38|CAT
P10669736A0903|71 73|in
P10669736A0903|100 101|a
P10669736A0903|131 134|PTB
P10671520T0000|29 66|human I-mfa domain-containing protein
P10674484A0633|88 91|rat
P10677214A1045|27 31|E53D
P10677214A1045|36 48|E44D mutants
P10677214A1045|65 68|cat
P10677214A1045|78 80|pH
P10677214A1045|91 92|a
P10677214A1045|144 145|a
P10677214A1045|158 159|a
P10677214A1045|189 191|pH
P10677214A1045|206 207|a
P10677214A1045|235 237|pK
P10677214A1045|238 239|a
P10677214A1045|305 306|a
P10677214A1045|349 351|in
P10677214A1045|374 405|MutT-Mg(2+)-dGTP-Mg(2+) complex
P10679065A0711|10 17|linking
P10679065A0711|40 71|MAPK-activated protein kinase-2
P10679065A0711|140 188|MAPK-activated protein kinase-2 immune complexes
P10679065A0711|204 205|a
P10679065A0711|239 276|CREB serine 133 phosphoacceptor motif
P10679922A1110|71 75|ING1
P10679922A1110|83 84|a
P10679922A1110|114 116|in
P10681588A0899a|78 81|CRE
P10681588A0899a|85 86|a
P10681588A0899a|106 145|activating transcription factor (ATF)-4
P10681588A0899a|150 185|CCAAT enhancer-binding protein beta
P10681588A0899b|78 81|CRE
P10681588A0899b|85 86|a
P10681588A0899b|106 145|activating transcription factor (ATF)-4
P10681588A0899b|150 185|CCAAT enhancer-binding protein beta
P10683244A0939|17 31|NBF1+R protein
P10683244A0939|37 49|NBF2 protein
P10683244A0939|55 56|a
P10683244A0939|202 208|NBF1+R
P10683244A0939|212 216|NBF2
P10684111A1411|73 74|a
P10684111A1411|75 79|pair
P10684111A1411|83 87|MAPK
P10684111A1411|96 100|MAPK
P10684111A1411|101 104|p42
P10684111A1411|108 127|MAPK family members
P10684967A0000|10 11|a
P10684967A0000|26 84|NK2 family of homeodomain-containing transcription factors
P10687855A1197|44 46|in
P10687855A1197|85 90|Zn-16
P10687855A1197|102 103|a
P10687855A1197|109 111|in
P10692167A0364|43 45|in
P10693246A0252|13 18|nodal
P10693246A0252|118 123|nodal
P10693246A0252|180 182|in
P10693314A0521|29 34|CK-MB
P10693314A0521|57 59|in
P10693314A0521|96 98|in
P10694511A0570|22 34|yam8(+) cDNA
P10694511A0570|35 37|in
P10694511A0570|42 53|mid1 mutant
P10694511A0570|112 114|in
P10694511A0570|115 116|a
P10694511A0570|133 135|in
P10694511A0570|136 138|Ca
P10694605A1327|129 131|NS
P10698937T0000|55 65|regulation
P10698937T0000|69 70|a
P10698974A0951|19 35|human STAG3 gene
P10698974A0951|76 101|human STAG3-related genes
P10698974A0951|267 306|Williams-Beuren syndrome (WBS) deletion
P10702253A0357|77 101|human HIF-1alpha subunit
P10704283A0649a|97 98|q
P10704283A0649a|165 167|in
P10704283A0649a|172 204|human IL-4 cytokine gene cluster
P10704499A0682|80 119|fibroblast growth factor (FGF) receptor
P10704499A0682|139 175|nonreceptor tyrosine kinase p59(fyn)
P10706475A0644|54 57|DSP
P10706475A0644|62 65|DPP
P10706688A0376|36 40|AP-1
P10706688A0376|66 75|regulates
P10706688A0376|80 93|fasl promoter
P10706688A0376|103 105|in
P10706688A0376|106 107|a
P10706688A0376|129 138|NF-kappaB
P10706736A1091|60 68|gp100 Ag
P10706736A1091|95 99|CD8+
P10706736A1091|100 101|T
P10706736A1091|130 140|HLA-A*0201
P10706736A1091|153 175|gp100-derived epitopes
P10708424A0800|90 93|can
P10712512A0506|48 50|in
P10712599A0349|19 24|IRF-1
P10712599A0349|45 65|ubiquitin-proteasome
P10713083A0560|72 76|TraM
P10713083A0560|87 91|TraR
P10713155A0151|142 144|NE
P10713155A0151|202 204|NE
P10713161A0985|45 53|ulp1(ts)
P10713161A0985|107 119|Smt3-protein
P10713175A1399|54 58|Mdm2
P10713175A1399|67 68|a
P10713175A1399|132 148|ARF-Mdm2 complex
P10713175A1399|153 157|p53-
P10713176A0422|0 8|Cyclin A
P10713176A0422|33 35|in
P10713176A0422|55 58|E2F
P10713176A0422|59 65|acting
P10713176A0422|66 68|in
P10713176A0422|114 116|Rb
P10713176A0422|118 122|p107
P10713176A0422|128 132|p130
P10713176A0422|143 148|v-Jun
P10713176A0422|181 198|phosphorylated Rb
P10713176A0422|226 244|E2F-p107 complexes
P10713176A0885|0 12|D-cyclin-cdk
P10713176A0885|60 65|v-Jun
P10713176A0885|117 161|cdk4- and cdk6-specific inhibitor p16(INK4A)
P10713239A0988|63 66|rim
P10713239A0988|102 105|can
P10715602A0149|196 197|a
P10715602A0149|202 203|C
P10721698A1195|95 99|CSTB
P10721698A1195|184 188|CSTB
P10721704A1155|96 107|Elav family
P10721704A1155|207 209|in
P10721704X0000|30 54|mouse Elavl1 (mHuA) gene
P10721704X0000|218 238|RNA-binding proteins
P10721704X0000|252 258|linked
P10721704X0000|304 314|regulation
P10721714A1087|87 89|in
P10721714A1087|113 114|a
P10721714A1087|123 131|Sp1 site
P10721714A1087|158 159|a
P10721714A1087|160 161|G
P10721714A1087|162 163|C
P10722661A0406|30 32|in
P10722661A0406|33 34|a
P10722661A0406|70 109|trypanosome cdc2-related kinases (CRKs)
P10722737A1726|58 60|in
P10722737A1726|79 89|regulation
P10722737A1726|94 95|a
P10722737A1726|96 129|Kruppel-like transcription factor
P10722737A1726|134 137|Sp1
P10722737A1726|138 140|in
P10722737A1726|159 169|regulation
P10722737A1726|177 189|LTC(4)S gene
P10725017A0673|148 151|ENV
P10728945A0233|97 103|IMPACT
P10730763A1491|113 114|a
P10730763A1491|172 174|in
P10732669A0510|128 131|can
P10732669A0510|213 233|HD-Zip binding sites
P10734312A0503|39 41|in
P10734312A0503|74 82|regulate
P10734312A0503|83 86|Shc
P10734312A0503|112 113|a
P10734312A0503|114 125|Shc chimera
P10734312A0503|141 172|Ras membrane localization motif
P10734312A0503|180 181|C
P10735848A1440|8 9|a
P10735848A1440|36 45|regulator
P10735848A1440|49 57|tol-oprL
P10736161T0000|0 67|Enzyme I of the phosphoenolpyruvate:sugar phosphotransferase system
P10736223A1227|82 93|Qa promoter
P10736223A1227|94 96|in
P10736223A1227|97 101|prgQ
P10736223A1227|107 111|PrgX
P10739671A0136|106 153|human c-myb intron 1 transcription pause region
P10739671A0136|336 389|interferon regulatory factors (IRFs) nuclear proteins
P10741947T0000|49 51|in
P10741947T0000|73 74|a
P10742114A0486|37 60|mouse mutant pudgy (pu)
P10744749A0315|144 156|MyoD protein
P10744749A0315|176 177|a
P10744749A0315|190 202|bHLH factors
P10744974T0000|58 115|Cdc15p mitotic regulatory protein kinase in budding yeast
P10745563A0409|170 172|in
P10745563A0409|184 185|a
P10745563A0409|197 200|neo
P10747053A1102|53 66|taf17(slm7-1)
P10747053A1102|99 107|TAF(II)s
P10747053A1102|168 169|a
P10747053A1102|179 184|TAF17
P10747053A1102|185 187|in
P10747053A1102|188 198|regulating
P10747053A1102|213 216|SBF
P10747053A1102|221 224|MBF
P10747099A0507|0 36|Extracellular-regulated kinase (ERK)
P10747099A0507|95 130|p130 Crk-associated substrate (CAS)
P10747099A0507|135 148|c-CrkII (Crk)
P10747099A0507|240 242|in
P10747099A0507|243 244|a
P10747099A0507|263 271|collagen
P10747782A0390|24 50|Swi4 DNA-protein complexes
P10747782A0390|99 100|C
P10747782A0390|196 200|core
P10748125A0000|0 17|Inhibitor-1 (I-1)
P10748125A0000|22 39|inhibitor-2 (I-2)
P10748125A0000|60 110|type 1 protein serine/threonine phosphatases (PP1)
P10748164A1284|142 144|in
P10748164A1284|145 147|AC
P10749932A0000|9 13|acts
P10749932A0000|37 39|in
P10749932A0000|40 48|integrin
P10752475A1376|149 153|CD20
P10752475A1376|157 177|anti-CD20 antibodies
P10752475A1376|178 180|in
P10752475A1376|197 199|Fc
P10752475A1376|244 270|anti-(mouse Ig) antibodies
P10752475A1376|330 332|in
P10756094A0671|46 48|Mb
P10756094A0671|114 116|kb
P10760132A1169|81 92|Ypt protein
P10762254A0954|77 103|MMA methyltransferase gene
P10762254A0954|128 158|DMA and TMA methyltransferases
P10763823A0824|90 91|a
P10763823A0824|92 97|mcl-1
P10763827A1158|73 74|a
P10763827A1158|75 87|ras oncogene
P10764150A0000|80 91|Raf kinases
P10764150A0000|135 137|P1
P10764574A0718|46 49|set
P10764574A0718|125 127|in
P10764802A1258|47 56|p57(Kip2)
P10764802A1258|77 79|in
P10764802A1258|84 100|Cip/Kip proteins
P10764802A1258|116 118|in
P10764802A1258|159 160|a
P10764802A1258|209 212|Cdk
P10764802A1258|247 271|p57(Kip2) family members
P10764802A1258|283 286|act
P10766246A0000|0 27|Integrin adhesion receptors
P10766246A0000|100 110|regulation
P10767338T0000|48 54|ATP2C1
P10767338T0000|64 65|a
P10767338T0000|72 74|Ca
P10770065A0264|91 92|R
P10771709A0291|64 65|Q
P10771709A0291|107 110|IgM
P10771709A0291|123 124|Q
P10771709A0291|157 169|IgG antibody
P10771709A0291|243 244|a
P10773667A0351|4 14|HMG domain
P10773667A0351|23 37|HMG20 proteins
P10773667A0351|65 76|yeast NHP6A
P10773951A0000|8 38|IgG anti A and anti B antibody
P10779313A1842|46 48|in
P10779313A1842|66 70|beta
P10779313A1842|121 134|GIRK channels
P10779313A1842|139 140|a
P10779313A1842|163 166|PKA
P10779313A1842|209 218|beta(2)AR
P10779329T0000|16 25|regulates
P10779329T0000|26 29|Src
P10779329T0000|69 72|Src
P10779508T0000|0 42|Estrogen receptor-related receptor alpha 1
P10779508T0000|137 159|human lactoferrin gene
P10781604A0827|107 132|Rsp5 WW domain (Rsp5 WW2)
P10781604A0827|133 135|in
P10781604A0827|146 148|in
P10786742A0670|51 52|h
P10788476A0891|28 29|C
P10788476A0891|50 53|Sec
P10788476A0891|90 92|ER
P10788476A0891|143 163|stomatitis G protein
P10791251A0110|87 89|in
P10791901A0609|114 123|MRP1 gene
P10791901A0609|224 226|in
P10792583A0000|24 49|vasopressin V1b receptors
P10792583A0000|56 57|a
P10792583A0000|72 74|in
P10792583A0000|75 85|regulating
P10792583A0000|86 130|pituitary adrenocorticotropic hormone (ACTH)
P10797125A0000|60 67|resting
P10797125A0000|68 72|core
P10797125A0000|93 97|core
P10797125A0000|220 221|C
P10797125A0000|222 226|rest
P10797125A0000|273 274|C
P10799595A1454|19 22|CDP
P10799595A1454|45 55|regulators
P10799595A1454|87 104|HPV-6 E1 promoter
P10801482A0968|120 122|in
P10801482A0968|141 155|kappaB targets
P10805286A0914|16 24|PCI mRNA
P10805286A0914|36 38|in
P10805286A0914|80 92|rat PCI cDNA
P10805286A0914|142 150|PCI mRNA
P10805737T0000|23 71|mammalian translation initiation factor 5 (eIF5)
P10807900A0933|60 61|a
P10807900A0933|161 163|in
P10807903A0362|13 23|D5/D1D(CT)
P10807903A0362|24 28|tail
P10807903A0362|60 61|a
P10807903A0362|127 154|wild-type (wt) D1 receptors
P10809233A0606|100 102|H3
P10809233A0606|114 116|H4
P10810083A1283|4 32|serine-threonine kinase gene
P10814989T0000|61 63|in
P10814989T0000|72 73|a
P10815410A0000|125 129|IL-1
P10815410A0000|131 135|IL-6
P10815410A0000|140 143|TNF
P10817754T0000|8 12|Igf2
P10817754T0000|39 48|regulated
P10817754T0000|49 51|in
P10817754T0000|73 74|a
P10817754T0000|82 85|cis
P10817754T0000|86 92|acting
P10817754T0000|123 126|H19
P10821836A0842|24 37|S transcripts
P10821836A0842|80 93|S transcripts
P10823837A1213|100 106|alpha1
P10823837A1213|109 115|linked
P10823837A1213|145 150|links
P10823837A1213|155 158|GPI
P10823837A1213|193 198|Mcd4p
P10823837A1213|203 208|Gpi7p
P10823837A1213|249 255|alpha1
P10823837A1213|263 269|alpha1
P10823837A1213|272 278|linked
P10823837A1213|295 298|GPI
P10823961A0664|18 22|TRBP
P10823961A0664|32 35|CBP
P10823961A0664|45 52|DRIP130
P10823961A0664|54 55|a
P10823961A0664|73 94|DRIP/TRAP/ARC complex
P10823961A0664|116 120|TRBP
P10826946A1198|65 74|human Igs
P10826946A1198|100 115|viral gp120 SAg
P10826946A1198|151 167|human V(H)3+ Igs
P10828022A0877|84 87|Shb
P10828591A0080|67 69|in
P10828591A0080|97 98|a
P10828591A0080|144 152|D11S1765
P10828591A0080|157 168|uteroglobin
P10836542A0363|57 58|A
P10836786A0516|135 139|MRP3
P10836786A0516|144 146|P3
P10836786A0516|156 202|RNase MRP RNA and RNase P RNA of S. cerevisiae
P10843716A0406|4 18|tryptase locus
P10843716A0406|47 72|tryptase-like pseudogenes
P10843716A0406|84 90|mastin
P10843716A0406|92 93|a
P10843716A0406|109 111|in
P10843716A0406|125 127|in
P10845522A0000|117 119|in
P10846069T0000|48 57|P protein
P10846069T0000|94 96|in
P10846069T0000|115 126|replication
P10848993A0000|42 79|methylmalonyl-CoA mutase gene (mutAB)
P10848993A0000|85 86|a
P10848993A0000|185 186|a
P10848993A0000|201 202|a
P10848993A0000|209 246|serine/threonine protein kinase (amk)
P10850329A0248|20 21|a
P10850329A0248|56 58|in
P10850329A0248|103 105|in
P10850453A0713|44 67|dominant negative Raf-1
P10850453A0713|193 202|V12Ha-Ras
P10852460A0170|128 130|in
P10854004A0788|95 109|angiotensin II
P10854699A0424|6 18|FGF-AS cDNAs
P10854699A0424|38 61|full-length FGF-AS mRNA
P10854699A0424|137 152|FGF-AS sequence
P10855690A0870|70 84|hPL-B enhancer
P10857262A0186|27 42|fruA transcript
P10857262A0186|70 100|D. melanogaster type A protein
P10857262A0186|119 153|BTB protein-protein-binding domain
P10857751A0304|17 48|mouse ortholog (Mharp/Smarcal1)
P10857751A0304|69 109|Caenorhabditis elegans ortholog (CEHARP)
P10857751A0304|125 127|in
P10860846A0480|47 49|in
P10860846A0480|54 77|AP2 core binding region
P10860846A0480|125 128|AP2
P10860846A0480|161 164|AP2
P10860846A0480|172 173|a
P10860846A0480|197 214|HGF gene promoter
P10864641A1400|83 94|HA molecule
P10864641A1400|106 116|regulators
P10864989A0484|50 51|a
P10864989A0484|65 66|p
P10864989A0484|84 86|in
P10865422A0138|20 39|serum ferritin (SF)
P10865422A0138|41 56|hemoglobin (Hb)
P10865940A0000|140 143|pro
P10865940A0000|160 169|NF-kappaB
P10866677A1839|0 36|Phd antibody-immunoreactive peptides
P10866677A1839|46 48|in
P10869465A1054|139 141|in
P10870043A0621|72 74|in
P10870043A0621|108 110|in
P10872851A0714|92 93|P
P10872851A0714|112 114|in
P10872851A0714|129 130|P
P10872851A0714|164 165|P
P10873388A0623|9 28|human Rhotekin cDNA
P10874151A0000|46 47|a
P10887921A0718|33 35|in
P10887921A0718|72 77|areas
P10887921A0718|131 134|rim
P10887921A0718|135 139|area
P10887921A0718|156 157|a
P10887921A0718|163 165|in
P10891093A0000|30 55|Na(+)/H(+) exchanger NHE3
P10891093A0000|195 265|cDNA sequences encoding putative NHE3 membrane spanning domains (msds)
P10891266A0421|0 5|ACE-2
P10891266A0421|10 11|a
P10891266A0421|24 25|C
P10891266A0421|38 39|H
P10891441A0871|15 41|pTyr317 Shc phosphopeptide
P10891441A0871|106 136|phosphatidylinositol 3' kinase
P10893243T0000|34 102|mouse cytosolic chaperonin subunit gene Ccta/t-complex polypeptide 1
P10893243T0000|106 190|selenocysteine tRNA gene transcription activating factor family zinc finger proteins
P10894149T0000|6 7|a
P10894149T0000|141 186|orphan receptors SF1 (steroidogenic factor 1)
P10894149T0000|191 236|ERRalpha1 (estrogen related receptor alpha-1)
P10895851A0696|110 111|g
P10896008A0531|150 151|n
P10896008A0531|163 167|able
P10896008A0531|185 186|n
P10896859A0000|94 97|ADX
P10896859A0000|119 120|a
P10896859A0000|180 183|ADX
P10903733A0540|77 81|BCMA
P10903733A0540|98 129|TNFR-associated factor (TRAF) 1
P10903733A0540|142 164|TRAF3 adaptor proteins
P10905349A0609|37 43|Rad54p
P10905349A0609|48 54|Mus81p
P10905349A0609|55 58|act
P10905349A0609|59 61|in
P10906176A0000|15 57|ETn (early transposon) family of sequences
P10907971A0806|41 58|HMG-CoA reductase
P10907971T0000|31 48|HMG-CoA reductase
P10913276A0684|65 75|SH3 domain
P10913276A0684|79 82|PLC
P10913276A0684|128 132|SOS1
P10913276A0684|133 135|in
P10913304A1180|0 3|A 2
P10913304A1180|4 6|kb
P10913304A1180|55 56|a
P10913304A1180|128 149|N-terminal Ets domain
P10913304A1180|215 225|murine ERF
P10915780A1063|0 5|Wnt-1
P10915780A1063|21 23|in
P10915780A1063|57 71|cyclin D1 mRNA
P10915780A1063|103 108|Wnt-1
P10915780A1063|109 111|in
P10915780A1063|164 167|ILK
P10915780A1063|181 190|cyclin D1
P10918059A0569|16 26|RVH domain
P10918059A0569|36 38|in
P10918059A0569|47 49|Ca
P10918164A0878|184 186|CI
P10918164A0878|199 200|P
P10918572A0794|8 12|VaII
P10918572A0794|40 45|ErbB2
P10918572A0794|60 65|ErbB1
P10918572A0794|67 72|ErbB3
P10918572A0794|77 82|ErbB4
P10918596A0000|33 47|p53 C-terminus
P10918596A0000|54 55|a
P10918596A0000|69 71|in
P10926776A0731|12 25|PDP1 isoforms
P10926776A0731|96 97|N
P10928477A0764|72 75|vWF
P10928477A0764|162 164|in
P10930526A0174|48 61|PL scramblase
P10930526A0174|65 81|human (HuPLSCR1)
P10931960A0630|160 193|herpes simplex viral protein VP16
P10933728A1398|57 59|in
P10933728A1398|70 75|EBNA2
P10933728A1398|111 129|hnRNP protein AUF1
P10933728A1398|229 249|CBF1 binding element
P10933728A1398|258 262|able
P10933728A1398|291 296|EBNA2
P10933732A0000|172 213|interferon regulatory factor (IRF) family
P10935488A1033|29 61|endogenous PPARgamma target gene
P10935488A1033|76 126|adipocyte-type fatty acid binding protein (A-FABP)
P10940557A1687|23 30|CF1/USP
P10940557A1687|35 81|Broad Complex Z2 transcription factor elements
P10940562A0379|74 75|a
P10946303A0000|0 9|TNF-alpha
P10946303A0000|57 81|cyclooxygenase-2 (COX-2)
P10946303A0000|112 114|in
P10950415A0866|69 70|a
P10950415A0866|110 111|a
P10950415A0866|144 146|in
P10950924A0393|77 78|a
P10950924A0393|95 97|in
P10950924A0393|109 114|areas
P10950935A0111|108 110|P1
P10954093A0000|29 32|Pat
P10954093A0000|49 51|in
P10954525A1161|25 30|Tax I
P10954525A1161|96 101|TRE-2
P10954525A1161|102 104|in
P10954564A1262|44 46|in
P10954564A1262|51 65|ORF 50 protein
P10954564A1262|70 98|immediate-early gene product
P10954564A1262|125 131|ORF 50
P10958271A0365|150 155|gated
P10958271A0365|169 170|m
P10958271A0365|176 177|m
P10958271A0365|250 252|in
P10958271A0365|327 329|in
P10958673A0142|99 105|acting
P10958673A0142|106 108|ER
P10958673A0142|140 142|in
P10958698A0485|48 51|END
P10958698A0485|69 72|HFD
P10958698A0485|73 76|can
P10958698A0485|132 137|Cse4p
P10962881A0900|61 63|CI
P10964995A2152|65 70|ER(+)
P10964995A2152|165 170|HER-2
P10965905T0000|0 28|Insulin receptor substrate-1
P10965905T0000|53 108|growth hormone-induced mitogen-activated protein kinase
P10973400A0664|71 73|in
P10980416T0000|20 30|regulation
P10980416T0000|34 62|bone sialoprotein (BSP) gene
P10980416T0000|99 154|pituitary-specific transcription factor-1 (Pit-1) motif
P10980416T0000|162 183|rat BSP gene promoter
P10982391A0425|60 62|in
P10982391A0425|85 86|a
P10982391A0425|100 108|SH3-like
P10982391A0425|139 141|in
P10982391A0425|146 147|N
P10982391A0425|186 187|a
P10982391A0425|197 201|core
P10982825A0363|62 79|Mot3 binding site
P10982825A0363|80 82|in
P10982825A0363|83 86|OpA
P10992299A0745|85 89|PI12
P10992299A0745|122 131|regulated
P10992299A0745|132 134|in
P10992299A0745|159 161|in
P10992299A0745|191 192|U
P10992299A0745|203 205|H4
P10993787A0369|120 122|in
P10993787A0369|151 153|in
P10993787A0369|201 203|in
P10995121A0569|126 127|n
P10995121A0569|139 140|a
P10995751A0093|33 82|CCAAAT/enhancer-binding protein-beta (C/EBP-beta)
P10995751A0093|118 119|a
P10995751A0093|126 146|IFN response element
P10995751A0093|158 201|gamma-IFN-activated transcriptional element
P10997863A0753|53 55|in
P10997863A0753|81 83|in
P10997863A0753|130 132|in
P11000203A0752|19 24|K-Rev
P11000203A0752|82 87|K-Rev
P11000203A0752|126 139|K-Rev mutants
P11000250A0200|0 5|LMP-1
P11000250A0200|57 61|TRAF
P11000250A0200|63 68|TRADD
P11000250A0200|74 87|JAK molecules
P11000250A0200|100 109|NF-kappaB
P11000521A0588|96 103|Ret-9bp
P11000521A0588|150 157|Ret-9bp
P11000521A0588|187 223|insulin receptor substrate-2 (IRS-2)
P11000521A0588|255 298|phosphatidylinositol 3-kinase (PI 3-kinase)
P11000521A0588|303 329|protein kinase B (PKB/AKT)
P11003641A0811|13 38|Fcp1p-binding motif KEFGK
P11003641A0811|39 41|in
P11003641A0811|46 67|RAP74 (Tfg1p) subunit
P11003652A0961|27 33|Cdc42p
P11003652A0961|37 39|in
P11003652A0961|107 117|PAK Ste20p
P11003669A0000|15 26|rat gene 33
P11003669A0000|48 74|ErbB-2-interacting protein
P11003669A0000|75 77|in
P11003669A0000|78 79|a
P11003669A0000|112 151|ErbB-2 juxtamembrane and kinase domains
