P00027739T0000|6 31|gamma glutamyltransferase
P07704040A0000|33 43|mouse NMO1
P07704040A0000|39 43|NMO1
P07704040A0000|39 48|NMO1 cDNA
P07704040A0000|68 222|NAD(P)H:menadione oxidoreductase [also called NAD(P)H:(quinone acceptor) oxidoreductase; quinone reductase; azo dye reductase; DT diaphorase; EC 1.6.99.2]
P07704040A0000|114 221|NAD(P)H:(quinone acceptor) oxidoreductase; quinone reductase; azo dye reductase; DT diaphorase; EC 1.6.99.2
P07704273A0000|30 39|ampD ampE
P07704273A0000|148 162|beta-lactamase
P07706273T0000|34 65|vacuolar H(+)-ATPase B2 subunit
P07706273T0000|34 54|vacuolar H(+)-ATPase
P07706273T0000|43 65|H(+)-ATPase B2 subunit
P07706273T0000|43 70|H(+)-ATPase B2 subunit gene
P07706273T0000|43 54|H(+)-ATPase
P07706291T0000|55 60|ad4bp
P07706291T0000|69 98|mammalian homologue of ftz-f1
P07706291T0000|79 98|homologue of ftz-f1
P07706291T0000|79 103|homologue of ftz-f1 gene
P07706291T0000|92 98|ftz-f1
P07706291T0000|92 103|ftz-f1 gene
P07706307A0914|112 133|proteases A, B, and C
P07706396T0000|31 45|SEC1 homologue
P07707531A0550|81 90|alpha 4-2
P07707531A0550|81 88|alpha 4
P07708058A0178|79 105|activator protein-1 (AP-1)
P07708058A0178|79 111|activator protein-1 (AP-1) motif
P07708058A0178|99 111|(AP-1) motif
P07708058A0178|120 125|c-jun
P07708058A0178|140 151|c-jun/c-fos
P07708497A0000|85 101|T3 receptor (TR)
P07711730A0000|31 39|(CPT) II
P07715602A1088|70 93|cytochrome c haem lyase
P07719527T0000|22 41|recombinant hirudin
P07719527T0000|34 41|hirudin
P07719527T0000|34 51|hirudin CGP 39393
P07720572A0701|19 23|myoD
P07720572A0701|19 23|myoD
P07720572A1584|138 154|chromosomal myoD
P07720572A1584|150 154|myoD
P07720572A1584|150 154|myoD
P07720710A0861|12 16|HMG2
P07721422A0241|105 126|mouse type 2 receptor
P07721422A0241|111 131|type 2 receptor gene
P07721422A0241|111 126|type 2 receptor
P07721878A1163|24 37|Fc epsilon R1
P07721878A1163|24 37|Fc epsilon R1
P07730273A1309|13 17|NarQ
P07730273A1309|135 149|NarL-phosphate
P07730337A1439|15 24|PKC-gamma
P07730337T0000|50 104|neuron-specific protein kinase C substrate neurogranin
P07730337T0000|50 118|neuron-specific protein kinase C substrate neurogranin (RC3 protein)
P07730337T0000|66 118|protein kinase C substrate neurogranin (RC3 protein)
P07730337T0000|66 104|protein kinase C substrate neurogranin
P07730337T0000|93 118|neurogranin (RC3 protein)
P07730337T0000|106 109|RC3
P07731686A0000|4 9|TTG-2
P07735833A1078|33 37|LysU
P07737118A0317|4 8|MPS1
P07737118A0317|68 72|LexA
P07737118A0317|88 91|GST
P07739382A0457|90 115|actin-associated proteins
P07739382A0457|186 196|flightless
P07739520A1250|36 43|Surfeit
P07739520A1250|36 48|Surfeit gene
P07739520A1250|97 130|D. melanogaster Surf-3/rpL7a gene
P07739520A1250|97 125|D. melanogaster Surf-3/rpL7a
P07739520A1250|97 117|D. melanogaster Surf
P07739520A1250|113 130|Surf-3/rpL7a gene
P07739520A1250|113 125|Surf-3/rpL7a
P07739544A0364|41 45|SGC1
P07739544A0364|41 50|SGC1 gene
P07739544A0364|112 159|basic-helix-loop-helix domain of the Myc family
P07739544A0364|112 183|basic-helix-loop-helix domain of the Myc family of DNA-binding proteins
P07739544A0364|149 152|Myc
P07739544A0364|149 183|Myc family of DNA-binding proteins
P07739566A1076|12 22|Pax-6-BSAP
P07739566A1076|12 29|Pax-6-BSAP fusion
P07739566A1076|12 38|Pax-6-BSAP fusion proteins
P07739566A1076|122 135|paired domain
P07742363A0135|27 58|haem-controlled repressor (HCR)
P07742363A0135|67 112|double-stranded RNA-activated inhibitor (dsI)
P07742363A0941|34 51|yeast eIF-2 alpha
P07744776A0617|69 71|U6
P07744846A1006|12 23|Bcl-2/Bcl-2
P07744846A1006|12 23|Bcl-2/Bcl-2
P07745684T0000|0 34|Human papillomavirus type 31b late
P07745684T0000|6 39|papillomavirus type 31b late gene
P07745684T0000|30 39|late gene
P07745685A1442|138 141|CAT
P07745693A0914|39 52|Lb proteinase
P07745696A0932|70 94|genomic BamHI G fragment
P07745696A0932|78 94|BamHI G fragment
P07745696A0932|176 182|SalI O
P07745726A1496|157 177|E1 recognition motif
P07747462A0332|24 39|prokaryotic RCR
P07747462A0332|36 39|RCR
P07747462A0332|36 50|RCR initiators
P07747462A0332|223 244|parvoviral replicator
P07747462A0332|234 244|replicator
P07747462A0332|234 253|replicator proteins
P07748493A1045|26 33|Afurin2
P07748493A1045|105 128|egg-laying hormone (ELH
P07748493A1045|105 148|egg-laying hormone (ELH)-related precursors
P07748493A1045|105 137|egg-laying hormone (ELH)-related
P07748493A1045|105 129|egg-laying hormone (ELH)
P07749461A0632|60 92|sGTH alpha subunit coding region
P07749461A0632|60 70|sGTH alpha
P07749461A0632|60 64|sGTH
P07749461A0632|60 64|sGTH
P07749461A1022|27 37|sGTH alpha
P07749461A1022|27 45|sGTH alpha subunit
P07749461A1022|27 37|sGTH alpha
P07751848A0222|35 49|(CPT) I and II
P07752223A0960|4 7|Myc
P07752223A0960|4 7|Myc
P07752886A0595|13 24|active FecR
P07752886A0595|20 35|FecR derivative
P07752886A0595|20 24|FecR
P07752886A0595|20 24|FecR
P07753796A0625|103 128|bovine liver eIF-2B alpha
P07753796A0625|110 136|liver eIF-2B alpha subunit
P07753796A0625|110 128|liver eIF-2B alpha
P07753796A0625|116 136|eIF-2B alpha subunit
P07753796A0625|116 128|eIF-2B alpha
P07753796A0743|80 92|eIF-2B alpha
P07753837A0724|68 79|plakoglobin
P07753837A0724|68 79|plakoglobin
P07754713A0227|90 101|protein S24
P07754713A0227|98 101|S24
P07758459A1277|15 19|AAC2
P07758459A1277|149 176|core HAP2/3/4 binding motif
P07758459A1277|149 162|core HAP2/3/4
P07758459A1277|154 162|HAP2/3/4
P07758459A1277|204 208|ABF1
P07758459A1277|204 218|ABF1 consensus
P07758837A1118|59 70|GH receptor
P07759525A0417|123 138|casein kinase I
P07759529A0288|77 91|gp91-phox gene
P07759529A0288|77 86|gp91-phox
P07760790A0327|21 34|MEF2 reporter
P07760790A0327|21 25|MEF2
P07760790A0327|21 25|MEF2
P07760841A0647|22 26|ADH2
P07760841A0647|22 26|ADH2
P07760844A0413|93 98|c-fos
P07765118A0967|25 36|ACC-oxidase
P07766885A0405|88 98|plant CDPK
P07766885A0405|143 158|calmodulin-like
P07767011A0689|82 86|hprt
P07768824A0167|14 17|fla
P07768848A1880|135 139|cotJ
P07768898A0492|47 54|apobec1
P07768898A0492|47 54|apobec1
P07768953T0039|107 117|calmodulin
P07768953T0039|107 128|calmodulin-binding IQ
P07770033A0978|210 232|copper metallothionein
P07772036A1000|50 58|USF/MLTF
P07772036A1000|67 127|CAAT-binding transcription factor/nuclear factor 1 (CTF/NF1)
P07772036A1000|119 126|CTF/NF1
P07774925A0084|36 41|BRCA1
P07775428A0172|76 86|Ash-l cDNA
P07776685A0000|127 140|interleukin-2
P07779558T0000|7 13|GSH-Px
P07779811A0901|16 19|Sp1
P07779812A0000|4 9|c-myc
P07780738A0091|76 117|proliferating cell nuclear antigen (PCNA)
P07782302A0479|72 75|Ran
P07782302A0479|167 179|HTF9A/RanBP1
P07782775A0889|102 111|BBTV coat
P07782775A0889|107 119|coat protein
P07782775A0889|107 111|coat
P07783064A0452|72 94|creatinine kinase (CK)
P07784061A0894|24 34|G proteins
P07784199A0000|4 41|ribosomal protein (rp) gene promoters
P07784199A0000|22 31|(rp) gene
P07784199A0000|22 41|(rp) gene promoters
P07787179A0312|36 42|PRB-1b
P07790377A0561|24 29|PTS1R
P07791763T0000|24 67|amphibian insulin receptor substrate 1-like
P07791763T0000|34 72|insulin receptor substrate 1-like cDNA
P07791763T0000|34 67|insulin receptor substrate 1-like
P07791764A0357|104 116|protein Grb2
P07791764A0357|112 116|Grb2
P07791768A0930|74 85|hmr delta A
P07791768A0930|118 122|clb5
P07791769A0826|0 4|ICP4
P07791769A0826|0 4|ICP4
P07791783A0000|0 11|SRY-related
P07791783A0000|0 3|SRY
P07791783A0000|43 72|high-mobility-group (HMG) box
P07791783A0000|43 68|high-mobility-group (HMG)
P07791783A0000|63 72|(HMG) box
P07795576A0126|105 117|plasma renin
P07796935A0284|64 74|hTR beta 1
P07796935A0284|97 108|hTR alpha 1
P07796935A0284|141 197|human peroxisome proliferator-activated receptor (hPPAR)
P07796935A0284|147 197|peroxisome proliferator-activated receptor (hPPAR)
P07796935A0284|147 189|peroxisome proliferator-activated receptor
P07797077A0842|125 166|interferon regulatory factor (IRF) family
P07797077A0842|125 159|interferon regulatory factor (IRF)
P07797077A0842|154 166|(IRF) family
P07797476A1001|4 9|RAP74
P07797583A0222|178 182|PCNA
P07797583A0222|255 280|DREF (DRE-binding factor)
P07797583A0222|285 289|PCNA
P07798134T0000|4 9|hsp70
P07798134T0000|4 14|hsp70 gene
P07798207A0759|48 56|W3A1 ETF
P07798207A0759|53 65|ETF subunits
P07798207A0759|53 56|ETF
P07798207A0759|53 56|ETF
P07798271A0330|46 57|Ets-related
P07798271A0330|46 49|Ets
P07798271A0330|112 138|recombinant purified Ets-1
P07798271A0330|124 146|purified Ets-1 protein
P07798271A0330|124 138|purified Ets-1
P07798271A0330|133 138|Ets-1
P07798271A0330|133 146|Ets-1 protein
P07799925A0526|51 61|src family
P07799925A0526|51 75|src family kinase p59fyn
P07799925A0526|62 75|kinase p59fyn
P07799925A0526|207 210|SH2
P07799931A0287|75 77|L7
P07799931A1232|15 18|Maf
P07799931A1232|15 26|Maf-related
P07799939A0628|37 83|PDGF-activated serine/threonine phosphoprotein
P07799948A0777|30 33|Ras
P07799950A0282|75 92|somatostatin gene
P07799950A0282|75 87|somatostatin
P07800505T0000|41 80|human 85 kDa cytosolic phospholipase A2
P07800505T0000|47 80|85 kDa cytosolic phospholipase A2
P07800505T0000|47 85|85 kDa cytosolic phospholipase A2 gene
P07800505T0000|54 80|cytosolic phospholipase A2
P07800505T0000|54 85|cytosolic phospholipase A2 gene
P07800505T0000|64 85|phospholipase A2 gene
P07800505T0000|64 80|phospholipase A2
P07802655T0000|20 28|FIII/YY1
P07802655T0000|57 76|zinc-finger protein
P07802655T0000|113 116|L14
P07802655T0000|113 134|L14 ribosomal protein
P07803809A1852|60 71|beta-globin
P07806507A0121|28 46|multimeric CD3-TCR
P07806507A0121|28 54|multimeric CD3-TCR complex
P07806507A0121|28 42|multimeric CD3
P07806507A0121|39 46|CD3-TCR
P07806507A0121|39 54|CD3-TCR complex
P07806532A0659|8 13|cHMGI
P07807002A0500|113 123|luciferase
P07807002A0500|113 132|luciferase reporter
P07809128T0000|26 30|E2F1
P07809410A0606|47 50|TSH
P07809410A0606|65 78|thyroglobulin
P07811639A0222|0 6|Endo16
P07812450A0849|70 74|nspC
P07813466A0074|4 7|U14
P07813466A0074|132 178|70-kDa-cognate-heat-shock protein gene (hsc70)
P07813466A0074|132 165|70-kDa-cognate-heat-shock protein
P07813466A0074|132 157|70-kDa-cognate-heat-shock
P07813786A0641|72 78|XMyoDa
P07813786A0641|72 83|XMyoDa TATA
P07814388A0662|58 78|M6P/IGF II receptors
P07814405A1170|97 123|guanylyl cyclase receptors
P07816025A0196|37 62|sequence of gamma-kafirin
P07816025A0196|49 62|gamma-kafirin
P07816025A0196|82 110|sequences of gamma-prolamins
P07816025A0196|82 119|sequences of gamma-prolamins of maize
P07816025A0196|95 110|gamma-prolamins
P07816025A0196|95 129|gamma-prolamins of maize, and Coix
P07816025A0196|95 119|gamma-prolamins of maize
P07816619A0000|103 133|Schizosaccharomyces pombe pde1
P07816619A0000|129 140|pde1 mutant
P07816619A0872|37 40|Dr1
P07816619A0872|37 45|Dr1-like
P07816630A1333|95 116|beta-tubulin 2 (BTU2)
P07816630A1333|95 121|beta-tubulin 2 (BTU2) gene
P07816630A1333|110 121|(BTU2) gene
P07816630A1333|164 168|H4-I
P07816808A1102|32 35|STR
P07822161A1172|23 28|opsin
P07823919A1422|26 33|Oct-3/4
P07823919A1422|46 53|RAR:RXR
P07823919A1422|46 66|RAR:RXR heterodimers
P07823919A1422|50 53|RXR
P07823919A1422|95 109|EAR-3/COUP-TFI
P07823919A1422|117 132|ARP-1/COUP-TFII
P07823953A0777|19 34|I kappa B alpha
P07823953A0777|19 34|I kappa B alpha
P07823953A0777|19 34|I kappa B alpha
P07826625X0000|136 180|C-terminal domain (CTD) of RNA polymerase II
P07826625X0000|367 388|TATA-binding proteins
P07828584A0681|64 67|AP1
P07828600A0095|22 50|stage selector element (SSE)
P07828600A0095|67 79|gamma-globin
P07829097A0000|29 40|Factor VIII
P07829102T0000|47 58|mouse Nramp
P07829102T0000|47 63|mouse Nramp gene
P07829102T0000|53 58|Nramp
P07831310A0000|56 96|tobacco etch virus (TEV) polymerase (NIb
P07831310A0000|56 97|tobacco etch virus (TEV) polymerase (NIb)
P07831310A0000|75 97|(TEV) polymerase (NIb)
P07831310A0000|75 91|(TEV) polymerase
P07831310A0000|76 79|TEV
P07831310A0000|81 97|polymerase (NIb)
P07831310A0000|177 180|TEV
P07831799T0000|56 70|DNA polymerase
P07831799T0000|56 75|DNA polymerase gene
P07835088A0238|15 21|HSD3B2
P07835088A0238|53 77|II 3 beta-HSD isoenzymes
P07835088A0238|56 66|3 beta-HSD
P07835088A0238|56 77|3 beta-HSD isoenzymes
P07835710T0000|29 52|porcine I kappa B alpha
P07835710T0000|37 66|I kappa B alpha-encoding gene
P07835710T0000|37 52|I kappa B alpha
P07835886A0894|4 15|kallistatin
P07835886A0894|106 112|serpin
P07835888A0402|23 46|XD gene (designated Xd)
P07835888A0402|23 25|XD
P07836364A0000|71 117|major histocompatibility complex (MHC) class I
P07836364A0000|104 127|(MHC) class I molecules
P07836364A0000|104 117|(MHC) class I
P07836390A1152|27 38|VirD1/VirD2
P07840643A1006|20 55|Flavobacterium glycosylasparaginase
P07840643A1006|63 93|mammalian glycosylasparaginase
P07841663A0685|0 26|Superoxide dismutase (SOD)
P07844142A0640|38 59|cDNA encoding SR beta
P07844142A0640|144 176|member of the GTPase superfamily
P07844142A0640|158 164|GTPase
P07844155A0327|113 116|LAR
P07844155A0327|113 116|LAR
P07845672A0368|14 34|human and murine blk
P07845672A0368|24 44|murine blk sequences
P07845672A0368|24 34|murine blk
P07845672A0368|31 34|blk
P07845672A0368|31 44|blk sequences
P07846163A0422|17 20|GRF
P07852400A0519|0 3|Rho
P07853488T0000|60 99|human immunodeficiency virus type 1 gag
P07853488T0000|96 104|gag gene
P07853488T0000|96 99|gag
P07853488T0000|158 167|P1 capsid
P07853524A1944|15 18|GST
P07853524A1944|96 117|Tax-CREB-21-bp-repeat
P07854130A1387|80 96|chromosomal pilE
P07854130A1387|92 96|pilE
P07854130A1387|92 114|pilE insertion mutants
P07854130T0000|4 13|pilE gene
P07854130T0000|4 8|pilE
P07854130T0000|4 21|pilE gene product
P07854130T0000|138 153|type 4 prepilin
P07854130T0000|145 153|prepilin
P07854130T0000|145 162|prepilin proteins
P07854324A0281|102 106|wee1
P07854324A0281|110 114|mik1
P07854324A0742|34 43|wee1/mik1
P07856102A1616|44 45|M
P07859301A0325|125 128|myc
P07859301A0325|125 157|myc-related transcription factor
P07859739T0000|8 20|cyclin D-Cdk
P07859739T0000|8 30|cyclin D-Cdk complexes
P07859739T0000|83 126|p16INK4/MTS1 tumour suppressor gene product
P07859739T0000|83 118|p16INK4/MTS1 tumour suppressor gene
P07859739T0000|83 95|p16INK4/MTS1
P07859739T0000|83 113|p16INK4/MTS1 tumour suppressor
P07859777A0000|0 38|Recombinant human serum albumin (rHSA)
P07860208A0000|32 57|interleukin-1 beta (IL-1)
P07860208A0000|62 96|tumour necrosis factor-alpha (TNF)
P07862092A0302|102 109|pol3-14
P07862092A0302|102 106|pol3
P07862092A0302|134 141|pol3-11
P07862092A0302|134 138|pol3
P07862092A0302|191 198|pol3-14
P07862092A0302|191 195|pol3
P07862092A0302|208 215|pol3-11
P07862092A0302|208 212|pol3
P07862129A1391|157 160|TTR
P07862162A0408|73 77|OPI1
P07862168A0000|4 52|interleukin 2 receptor alpha-chain (IL-2R alpha)
P07862168A0000|4 57|interleukin 2 receptor alpha-chain (IL-2R alpha) gene
P07862168A0000|39 57|(IL-2R alpha) gene
P07862533A0000|4 42|Wilms' tumour suppressor protein (WT1)
P07862533A0000|180 211|early growth response-1 (EGR-1)
P07862533A0000|180 219|early growth response-1 (EGR-1) protein
P07862533A0000|204 219|(EGR-1) protein
P07863047A0229|34 37|ACE
P07863047A0229|34 37|ACE
P07864652A0753|39 43|E2L1
P07864652A0753|51 58|E2L1.H1
P07864652A0753|67 71|E2L2
P07864652A0753|82 89|E2H1.L2
P07864652A0753|103 113|E2L1.H1.L2
P07864652A0753|204 216|E2 component
P07864709A0324|252 254|M2
P07865129A0293|19 26|ATF/CRE
P07865129A0293|31 55|TBP/TATA sequence motifs
P07865129A0293|31 39|TBP/TATA
P07865129A0293|31 48|TBP/TATA sequence
P07865787A1086|181 197|wheat histone H3
P07865787A1086|187 197|histone H3
P07865787A1086|187 202|histone H3 gene
P07865787A1086|195 197|H3
P07865787A1086|195 202|H3 gene
P07865876A1292|34 36|DP
P07865876A1292|34 43|DP family
P07865876A1292|85 91|DP/E2F
P07865876A1292|85 104|DP/E2F heterodimers
P07865876A1292|121 130|DRTF1/E2F
P07865895A0896|79 84|3.2.3
P07867604A1777|38 74|inhibin/activin beta B-subunit mRNAs
P07867604A1777|38 68|inhibin/activin beta B-subunit
P07867622X0000|54 71|alpha 1-chimaerin
P07867622X0000|91 116|GTPase-activating protein
P07867622X0000|129 146|alpha 1-chimaerin
P07867622X0000|168 193|GTPase-activating protein
P07867944A0365|131 160|sigma 35-recognized promoters
P07867944A0365|131 139|sigma 35
P07871718A1132|61 65|ICP4
P07871718A1132|95 105|GABP alpha
P07871721A0392|122 133|papain-like
P07871721A0392|122 144|papain-like proteinase
P07871721A0392|122 128|papain
P07871891A0227|70 81|protein S13
P07871891A0227|78 81|S13
P07872673A0332|47 52|c-fos
P07872673A0332|47 52|c-fos
P07874060A0810|60 81|xanthine oxidase (XO)
P07875595A0910|17 33|PITSLRE PK genes
P07875595A0910|17 27|PITSLRE PK
P07876191A0808|14 26|class IV ADH
P07876194T0000|127 142|tyrosine kinase
P07876210A0751|16 24|P450BM-3
P07876210A0751|16 31|P450BM-3 Barbie
P07876210A0751|16 24|P450BM-3
P07876210A0751|16 24|P450BM-3
P07877619A1284|70 76|zif268
P07877619A1284|70 76|zif268
P07878029A0721|64 75|CBF-A-CBF-C
P07878029A0721|64 83|CBF-A-CBF-C complex
P07878029A0721|64 75|CBF-A-CBF-C
P07878029A0721|64 83|CBF-A-CBF-C complex
P07879204T0000|0 4|OKT3
P07880442A0236|10 48|PKC beta transcription initiation site
P07880442A0236|88 90|S1
P07883167A0157|39 43|UPF3
P07883193A0000|73 93|Escherichia coli fru
P07883193A0000|90 93|fru
P07883193A0000|90 119|fru transcriptional regulator
P07885999A0000|86 102|mouse tyrosinase
P07885999A0000|92 107|tyrosinase gene
P07885999A0000|92 102|tyrosinase
P07887226A0858|19 33|serum ferritin
P07887226A0858|69 95|serum transferrin receptor
P07888623A0721|65 69|NTF3
P07888623A0721|74 92|Arabidopsis ATMPK1
P07888623A0721|86 100|ATMPK1 kinases
P07888623A0721|86 92|ATMPK1
P07888623A0721|155 168|kinase MsERK1
P07888623A0721|162 168|MsERK1
P07888828A0765|51 58|RH-like
P07888828A0765|51 53|RH
P07890599A0132|264 269|unc18
P07890599A0132|300 305|Sec1p
P07890680A1193|26 44|DNA polymerase III
P07890740A0997|4 8|PSD2
P07891685A1051|128 141|Cat4p (Mig1p)
P07891685A1051|151 155|CAT8
P07891708A1192|59 62|Epo
P07891713T0000|0 9|Small Maf
P07891713T0000|6 18|Maf proteins
P07891713T0000|6 9|Maf
P07891713T0000|88 93|NF-E2
P07896088A0720|88 116|RAP1 interacting factor RIF1
P07896088A0720|88 130|RAP1 interacting factor RIF1: rap1 alleles
P07896088A0720|112 116|RIF1
P07896088A0720|118 122|rap1
P07896088A0720|173 177|RIF1
P07896817A0204|95 128|phospholipase C-gamma (PLC-gamma)
P07896846T0000|45 73|nucleic acid-binding protein
P07896846T0000|115 132|human beta-myosin
P07896846T0000|115 144|human beta-myosin heavy chain
P07896846T0000|121 149|beta-myosin heavy chain gene
P07896846T0000|121 132|beta-myosin
P07896846T0000|121 144|beta-myosin heavy chain
P07896852T0000|44 49|Egr-1
P07896852T0000|53 70|apolipoprotein AI
P07897359A0354|118 155|vaccinia virus-encoding T7 polymerase
P07897359A0354|142 155|T7 polymerase
P07897696A0000|0 56|Erythrocyte delta-aminolevulinic acid dehydratase (ALAD)
P07897696A0000|12 49|delta-aminolevulinic acid dehydratase
P07899581A0000|65 91|superoxide dismutase (SOD)
P07901121T0000|28 54|paired class homeo domains
P07901121T0000|28 40|paired class
P07902532A0312|75 96|thymidine kinase (TK)
P07902532A0312|75 105|thymidine kinase (TK) promoter
P07902532A0312|92 105|(TK) promoter
P07902532A1655|70 75|BOXF1
P07902583A0545|52 62|Grf10-Swi5
P07902583A0545|52 66|Grf10-Swi5-DNA
P07902583A0545|52 74|Grf10-Swi5-DNA complex
P07903670A1202|25 40|alpha 1-tubulin
P07906265A0897|69 73|fasD
P07908827A1200|70 73|RAR
P07913891A0174|152 155|Hox
P07913926A0878|78 82|ntcA
P07913926A0878|116 120|glnA
P07914192A0211|0 4|HER2
P07914192A0211|123 152|ets response element (GAGGAA)
P07914192A0211|123 143|ets response element
P07914192A0211|240 250|human HER2
P07914192A0211|246 259|HER2 promoter
P07914192A0211|246 250|HER2
P07914192A0844|119 145|ETS-immunoreactive complex
P07914700A0000|17 63|RNA-dependent eIF-2 alpha protein kinase (PKR)
P07914700A0000|31 63|eIF-2 alpha protein kinase (PKR)
P07914700A0000|31 57|eIF-2 alpha protein kinase
P07916003A0688|59 69|CD79 alpha
P07916003A0688|59 69|CD79 alpha
P07916326A0000|85 119|murine homeodomain-containing gene
P07916327A0250|34 60|human goosecoid gene (GSC)
P07916327A0250|34 49|human goosecoid
P07916327A0250|40 54|goosecoid gene
P07916327A0250|40 49|goosecoid
P07916327A0250|40 60|goosecoid gene (GSC)
P07916577A0190|124 139|Kruppel-related
P07916577A0190|124 131|Kruppel
P07916588A0471|100 102|CP
P07916689A1407|4 30|Y. lipolytica genomic POT1
P07916689A1407|4 35|Y. lipolytica genomic POT1 gene
P07916689A1407|18 30|genomic POT1
P07916689A1407|18 35|genomic POT1 gene
P07916689A1407|26 35|POT1 gene
P07916689A1407|127 150|Y. lipolytica LEU2 gene
P07916689A1407|127 145|Y. lipolytica LEU2
P07916689A1407|141 145|LEU2
P07916729T0000|2 63|leucine zipper domain of the suppressor of Hairy-wing protein
P07916729T0000|2 55|leucine zipper domain of the suppressor of Hairy-wing
P07916729T0000|31 55|suppressor of Hairy-wing
P07916729T0000|31 63|suppressor of Hairy-wing protein
P07916729T0000|45 63|Hairy-wing protein
P07916729T0000|45 55|Hairy-wing
P07917016A0581|27 62|zinc finger domain protein sequence
P07918097T0000|10 15|Notch
P07918097T0000|10 39|Notch homologue mouse Notch 3
P07918097T0000|16 39|homologue mouse Notch 3
P07918097T0000|32 39|Notch 3
P07918097T0000|32 37|Notch
P07918097T0000|55 78|epidermal growth factor
P07918128A0000|88 104|(5-HT3) receptor
P07919540A0240|63 68|c-myc
P07919540A1119|64 69|c-Myc
P07919540A1119|108 135|Myc/Max-responsive reporter
P07919540A1119|108 145|Myc/Max-responsive reporter construct
P07919540A1119|112 135|Max-responsive reporter
P07919540A1119|112 145|Max-responsive reporter construct
P07925282A0705|70 73|SRP
P07926749A0471|92 103|ROR alpha 2
P07926749A0471|221 246|core motif PuGGTCA (RORE)
P07926749A0471|226 246|motif PuGGTCA (RORE)
P07926749A0471|232 246|PuGGTCA (RORE)
P07926774A0652|4 20|p73pct1/p85cdc10
P07926774A0652|4 28|p73pct1/p85cdc10 complex
P07926774A0652|83 86|E2F
P07926775A0895|49 59|slp mutant
P07926789A0960|33 37|lacZ
P07927130A0625|0 23|CMV hyperimmunoglobulin
P07929165T0000|34 39|actVI
P07929165T0000|54 84|actinorhodin biosynthetic gene
P07929165T0000|54 92|actinorhodin biosynthetic gene cluster
P07929165T0000|54 66|actinorhodin
P07929431A0949|71 124|reporter gene chloramphenicol acetyltransferase (CAT)
P07929431A0949|80 124|gene chloramphenicol acetyltransferase (CAT)
P07929431A0949|80 118|gene chloramphenicol acetyltransferase
P07929431A0949|85 118|chloramphenicol acetyltransferase
P07929431A0949|85 124|chloramphenicol acetyltransferase (CAT)
P07929559A0000|12 18|dynein
P07929560T0000|22 48|plakoglobin-binding domain
P07933066T0000|38 55|adenovirus E4-6/7
P07933066T0000|49 55|E4-6/7
P07933066T0000|49 63|E4-6/7 protein
P07933066T0000|72 91|retinoblastoma gene
P07933076A0211|69 93|latent membrane proteins
P07933095A0000|152 185|cellular transcription factor Sp1
P07933095A0000|161 185|transcription factor Sp1
P07933107A0991|47 50|p54
P07933116A0412|4 7|p55
P07935375A1197|16 37|dominant-negative ras
P07935375A1197|34 37|ras
P07935375A1197|34 42|ras gene
P07935375A1197|55 65|TIS10/PGS2
P07935383A0108|214 227|adenovirus L3
P07935383A0108|225 227|L3
P07935426A0714|104 107|TdT
P07935447A0972|62 99|basic helix-loop-helix leucine zipper
P07935447A0972|134 139|PRE B
P07935447A0972|262 286|alpha-myosin heavy-chain
P07935451T0000|0 38|Human T-cell leukemia virus type I Tax
P07935451T0000|6 38|T-cell leukemia virus type I Tax
P07935451T0000|53 67|NF-kappa B/Rel
P07935451T0000|132 142|RelA (p65)
P07935451T0000|169 174|c-rel
P07935468T0000|14 19|c-fos
P07935471A0613|19 22|HSF
P07935471A0613|55 65|anti-hHSF1
P07935471A0613|61 64|HSF
P07935472A0276|31 36|Ets-1
P07935491A0495|46 80|family of orphan nuclear receptors
P07935491A1182|81 136|retinoic acid receptor-retinoid-X receptor heterodimers
P07935491A1182|81 123|retinoic acid receptor-retinoid-X receptor
P07935626A1249|31 45|tRNA(trp)(CCA)
P07935626A1249|31 61|tRNA(trp)(CCA)-gene transcript
P07935626A1249|31 50|tRNA(trp)(CCA)-gene
P07935997A0000|54 69|immunoglobulins
P07936640A0900|138 147|TGF alpha
P07936650A0656|70 112|N-terminal activating region of p58c-ets-2
P07936650A0656|140 156|Ets-1-beta/Ets-2
P07936650A0656|140 175|Ets-1-beta/Ets-2-Conserved sequence
P07936650A0656|151 156|Ets-2
P07936650A1752|39 50|ets-1/ets-2
P07936650A1752|39 55|ets-1/ets-2 gene
P07936650A1752|45 50|ets-2
P07937106A0100|4 9|v-ets
P07937106A0100|4 9|v-ets
P07937108A0325|60 76|RNA polymerase I
P07937112A0220|27 29|Ku
P07937112A0220|134 148|recombinant Ku
P07937112A0220|146 148|Ku
P07937132A0819|102 105|28S
P07937147A0205|43 45|pi
P07937147A0205|43 53|pi protein
P07937656A0182|228 254|serum alkaline phosphatase
P07937656A0182|293 306|serum albumin
P07937841A0790|58 67|Waf1/Cip1
P07937841A0790|127 130|myb
P07937841A0790|127 139|myb oncogene
P07937954A0612|32 45|GTP-bound Ras
P07941750A0344|55 84|prokaryotic hydantoinase HyuA
P07941750A0344|67 79|hydantoinase
P07941750A0344|67 84|hydantoinase HyuA
P07941750A0344|110 126|hydatoinase HyuB
P07945330A0103|67 72|Rex-1
P07945937A0358|25 39|zebrafish egr1
P07945937A0358|35 39|egr1
P07945937A0358|35 53|egr1 coding region
P07945937A0358|111 121|human Egr1
P07945937A0358|117 121|Egr1
